region_name,year,av_sec1_all,percentage_population,language,distance,av_gdp,av_rai,democracy,diff_unemployment,shdi_score,av_selfrule,av_sharedrule,avg_policy_minorityrights,percentage_speaker
Flemish Region,1976,1.0099999904632568,57.22999954223633,95,0.5,0.9799999992052711,10.6,0.7699999809265137,,0.9300000071525574,4.6,6.0,2.180000066757202,33.7599983215332
Flemish Region,1977,1.2699999809265137,57.22999954223633,95,0.5,0.9699999988079069,11.2,0.7699999809265137,,0.9300000071525574,5.2,6.0,1.8899999856948853,33.7599983215332
Flemish Region,1978,1.9049999713897705,57.22999954223633,95,0.5,0.9599999934434889,11.8,0.7699999809265137,,0.9300000071525574,5.8,6.0,2.1700000762939453,33.7599983215332
Flemish Region,1979,1.7899999618530273,57.22999954223633,95,0.5,0.952499985694885,12.4,0.7799999713897705,,0.9399999976158142,6.4,6.0,2.1700000762939453,33.7599983215332
Flemish Region,1980,1.7899999618530273,57.22999954223633,95,0.5,0.9519999861717222,13.0,0.7900000214576721,,0.9300000071525574,7.0,6.0,2.1700000762939453,33.7599983215332
Flemish Region,1981,2.009999990463257,57.22999954223633,95,0.5,0.949999988079071,13.0,0.7799999713897705,,0.9399999976158142,7.0,6.0,2.180000066757202,33.7599983215332
Flemish Region,1982,2.2300000190734863,57.22999954223633,95,0.5,0.949999988079071,13.0,0.7799999713897705,,0.8100000023841858,7.0,6.0,2.180000066757202,33.7599983215332
Flemish Region,1983,2.674999952316284,57.22999954223633,95,0.5,0.9479999899864197,13.0,0.7799999713897705,,0.8100000023841858,7.0,6.0,2.180000066757202,33.7599983215332
Flemish Region,1984,2.674999952316284,57.22999954223633,95,0.5,0.9479999899864197,13.0,0.7799999713897705,,0.8299999833106995,7.0,6.0,2.180000066757202,33.7599983215332
Flemish Region,1985,2.674999952316284,57.22999954223633,95,0.5,0.949999988079071,14.4,0.7799999713897705,,0.8399999737739563,7.8,6.6,2.180000066757202,33.7599983215332
Flemish Region,1986,3.119999885559082,57.22999954223633,95,0.5,0.9539999961853027,15.8,0.7699999809265137,,0.8500000238418579,8.6,7.2,2.180000066757202,33.7599983215332
Flemish Region,1987,6.704999923706055,57.22999954223633,95,0.5,0.9579999923706055,17.2,0.7799999713897705,,0.8500000238418579,9.4,7.8,1.9299999475479126,33.7599983215332
Flemish Region,1988,10.289999961853027,57.22999954223633,95,0.5,0.9619999885559082,18.6,0.7799999713897705,,0.8600000143051147,10.2,8.4,1.9299999475479126,33.7599983215332
Flemish Region,1989,10.289999961853027,57.22999954223633,95,0.5,0.9639999985694885,20.0,0.7799999713897705,,0.8700000047683716,11.0,9.0,1.9299999475479126,33.7599983215332
Flemish Region,1990,10.289999961853027,57.22999954223633,95,0.5,0.9680000066757202,20.0,0.800000011920929,,0.8100000023841858,11.0,9.0,1.9299999475479126,33.7599983215332
Flemish Region,1991,15.360034790191651,57.22999954223633,95,0.5,0.9700000047683716,20.6,0.800000011920929,,0.8100000023841858,11.4,9.2,2.1700000762939453,33.7599983215332
Flemish Region,1992,20.430069618530275,57.22999954223633,95,0.5,0.9740000128746032,21.4,0.8100000023841858,,0.8299999833106995,11.8,9.6,2.1700000762939453,33.7599983215332
Flemish Region,1993,20.430069618530275,57.22999954223633,95,0.5,0.9800000190734863,22.2,0.8100000023841858,,0.8399999737739563,12.2,10.0,2.1700000762939453,33.7599983215332
Flemish Region,1994,20.430069618530275,57.22999954223633,95,0.5,0.9820000171661377,23.0,0.8100000023841858,,0.8500000238418579,12.6,10.4,2.1700000762939453,33.7599983215332
Flemish Region,1995,22.476782118530274,57.22999954223633,95,0.5,0.9840000152587891,23.8,0.8100000023841858,,0.8500000238418579,13.0,10.8,2.1700000762939453,33.7599983215332
Flemish Region,1996,24.523494618530272,57.22999954223633,95,0.5,0.9840000152587891,24.0,0.8100000023841858,,0.8600000143051147,13.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,1997,24.523494618530272,57.22999954223633,95,0.5,0.9840000152587891,24.0,0.8100000023841858,,0.8700000047683716,13.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,1998,24.523494618530272,57.22999954223633,95,0.5,0.9820000171661377,24.2,0.8100000023841858,,0.8700000047683716,13.2,11.0,2.1700000762939453,33.7599983215332
Flemish Region,1999,23.747267309265133,57.22999954223633,95,0.5,0.9840000152587891,24.4,0.8100000023841858,-5.119999885559082,0.8700000047683716,13.4,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2000,23.560519809265138,57.22999954223633,95,0.5,0.9840000152587891,24.6,0.8100000023841858,-3.5999999046325684,0.8799999952316284,13.6,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2001,23.560519809265138,57.22999954223633,95,0.5,0.9860000133514404,24.8,0.8100000023841858,-4.300000190734863,0.8799999952316284,13.8,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2002,23.560519809265138,57.22999954223633,95,0.5,0.9900000095367432,25.0,0.8100000023841858,-2.4000000953674316,0.8899999856948853,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2003,24.758983206176755,57.22999954223633,95,0.5,0.9940000057220459,25.0,0.8100000023841858,-3.799999952316284,0.8899999856948853,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2004,25.652954809265136,57.22999954223633,95,0.5,0.9960000038146972,25.0,0.7900000214576721,-4.199999809265137,0.8899999856948853,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2005,27.747955076293945,57.22999954223633,95,0.5,0.9980000019073486,25.0,0.8100000023841858,-3.799999952316284,0.8999999761581421,14.0,11.0,2.1700000762939453,33.7599983215332
Flemish Region,2006,33.31196959309896,57.22999954223633,95,0.5,1.0,25.0,0.8100000023841858,-4.099999904632568,0.8999999761581421,14.0,11.0,2.1700000762939453,33.7599983215332
