unit,time,pair,cov,treat
United Kingdom,2010Q3,SH:SG,0.812396786589451,0
United Kingdom,2010Q3,SH:SH,0.1963700308461133,0
United Kingdom,2010Q3,SI:SC,0.4393490872123587,0
United Kingdom,2010Q3,SI:SD,1.3685158557091188,0
United Kingdom,2010Q3,SI:SE,0.027547195047279573,0
United Kingdom,2010Q3,SI:SG,1.0428671538996737,0
United Kingdom,2010Q3,SI:SH,0.2520786130129881,0
United Kingdom,2010Q3,SI:SI,0.32359126728634174,0
United Kingdom,2010Q3,SJ:SC,1.622539356600942,0
United Kingdom,2010Q3,SJ:SD,5.054001250143033,0
United Kingdom,2010Q3,SJ:SE,0.10173324454084894,0
United Kingdom,2010Q3,SJ:SG,3.8513634150120852,0
United Kingdom,2010Q3,SJ:SH,0.9309396160717605,0
United Kingdom,2010Q3,SJ:SI,1.1950396208987395,0
United Kingdom,2010Q3,SJ:SJ,4.413344363381965,0
United Kingdom,2010Q3,SK:SC,0.19763417668867214,0
United Kingdom,2010Q3,SK:SD,0.6156050218393562,0
United Kingdom,2010Q3,SK:SE,0.012391666152750846,0
United Kingdom,2010Q3,SK:SG,0.46911714933642196,0
United Kingdom,2010Q3,SK:SH,0.11339354193209963,0
United Kingdom,2010Q3,SK:SI,0.14556236841085948,0
United Kingdom,2010Q3,SK:SJ,0.5375695055729288,0
United Kingdom,2010Q3,SK:SK,0.06547890885642918,0
United Kingdom,2010Q3,SL:SC,0.1271332166508247,0
United Kingdom,2010Q3,SL:SD,0.3960036058749368,0
United Kingdom,2010Q3,SL:SE,0.007971254790329297,0
United Kingdom,2010Q3,SL:SG,0.3017715517653331,0
United Kingdom,2010Q3,SL:SH,0.07294328326606828,0
United Kingdom,2010Q3,SL:SI,0.0936367000356253,0
United Kingdom,2010Q3,SL:SJ,0.3458052729641933,0
United Kingdom,2010Q3,SL:SK,0.042120975456676445,0
United Kingdom,2010Q3,SL:SL,0.027095390018059815,0
United Kingdom,2010Q4,SC:SC,0.3964950352641113,0
United Kingdom,2010Q4,SD:SC,1.0158990143683593,0
United Kingdom,2010Q4,SD:SD,2.60293500700996,0
United Kingdom,2010Q4,SE:SC,0.04661992178973533,0
United Kingdom,2010Q4,SE:SD,0.11944949717863215,0
United Kingdom,2010Q4,SE:SE,0.0054815745832310185,0
United Kingdom,2010Q4,SG:SC,1.2212105161110511,0
United Kingdom,2010Q4,SG:SD,3.128983844216592,0
United Kingdom,2010Q4,SG:SE,0.14359004195847186,0
United Kingdom,2010Q4,SG:SG,3.7613462767996726,0
United Kingdom,2010Q4,SH:SC,0.19192222581656718,0
United Kingdom,2010Q4,SH:SD,0.49174285350775565,0
United Kingdom,2010Q4,SH:SE,0.022566232516178387,0
United Kingdom,2010Q4,SH:SG,0.5911232666167165,0
United Kingdom,2010Q4,SH:SH,0.09289937448485233,0
United Kingdom,2010Q4,SI:SC,0.36205226646772026,0
United Kingdom,2010Q4,SI:SD,0.9276498012374477,0
United Kingdom,2010Q4,SI:SE,0.04257013794706983,0
United Kingdom,2010Q4,SI:SG,1.1151262837319087,0
United Kingdom,2010Q4,SI:SH,0.1752503074751798,0
United Kingdom,2010Q4,SI:SI,0.3306014754184691,0
United Kingdom,2010Q4,SJ:SC,1.655038990816807,0
United Kingdom,2010Q4,SJ:SD,4.240538543924073,0
United Kingdom,2010Q4,SJ:SE,0.19459963290447274,0
United Kingdom,2010Q4,SJ:SG,5.097544333217154,0
United Kingdom,2010Q4,SJ:SH,0.801116631180975,0
United Kingdom,2010Q4,SJ:SI,1.511268904838948,0
United Kingdom,2010Q4,SJ:SJ,6.908419570245876,0
United Kingdom,2010Q4,SK:SC,0.16555209713936123,0
United Kingdom,2010Q4,SK:SD,0.42417734738711654,0
United Kingdom,2010Q4,SK:SE,0.019465630422390013,0
United Kingdom,2010Q4,SK:SG,0.5099028840453326,0
United Kingdom,2010Q4,SK:SH,0.08013499324253126,0
United Kingdom,2010Q4,SK:SI,0.15117090166807254,0
United Kingdom,2010Q4,SK:SJ,0.6910431440701953,0
United Kingdom,2010Q4,SK:SK,0.06912443897055091,0
United Kingdom,2010Q4,SL:SC,0.13746784117571656,0
United Kingdom,2010Q4,SL:SD,0.3522199067757087,0
United Kingdom,2010Q4,SL:SE,0.016163481088601037,0
United Kingdom,2010Q4,SL:SG,0.4234029643247445,0
United Kingdom,2010Q4,SL:SH,0.06654089385776965,0
United Kingdom,2010Q4,SL:SI,0.12552627154824242,0
United Kingdom,2010Q4,SL:SJ,0.5738145926030881,0
United Kingdom,2010Q4,SL:SK,0.057398169893100946,0
United Kingdom,2010Q4,SL:SL,0.047661144974801985,0
United Kingdom,2011Q1,SC:SC,0.45478379276341563,0
United Kingdom,2011Q1,SD:SC,0.9656943222829159,0
United Kingdom,2011Q1,SD:SD,2.050568949308606,0
United Kingdom,2011Q1,SE:SC,0.017943542706474788,0
United Kingdom,2011Q1,SE:SD,0.03810157175565393,0
United Kingdom,2011Q1,SE:SE,0.0007079643777600005,0
United Kingdom,2011Q1,SG:SC,1.3611555897014713,0
United Kingdom,2011Q1,SG:SD,2.8902969842686637,0
United Kingdom,2011Q1,SG:SE,0.05370453794221044,0
United Kingdom,2011Q1,SG:SG,4.073901860305258,0
United Kingdom,2011Q1,SH:SC,0.3107919751981722,0
United Kingdom,2011Q1,SH:SD,0.6599400652258933,0
United Kingdom,2011Q1,SH:SE,0.012262330295264351,0
United Kingdom,2011Q1,SH:SG,0.9301919747510043,0
United Kingdom,2011Q1,SH:SH,0.21239026848485232,0
United Kingdom,2011Q1,SI:SC,0.3780195987066377,0
