state,quarter,medcost,employment,expansion
MS,98,0.2104453627,0.4925120773,0
MS,99,0.1825903052,0.5280402648,0
MS,100,0.1761284613,0.5123353045,0
AL,1,0.09484035055,0.6884997242,0
AL,2,0.163510101,0.8126052189,0
AL,3,0.1172261817,0.7270114581,0
AL,4,0.06479298724,0.7153454433,0
AL,5,0.1415004748,0.6149097816,0
AL,6,0.09086099086,0.6980113636,0
AL,7,0.1381030702,0.6536001462,0
AL,8,0.1469491088,0.5878882861,0
AL,9,0.1300473406,0.6427179059,0
AL,10,0.2055555556,0.7226741095,0
AL,11,0.08029528017,0.6351003643,0
AL,12,0.1025932064,0.6212836636,0
AL,13,0.1200542741,0.6911951067,0
AL,14,0.1034126231,0.7114614615,0
AL,15,0.111994891,0.7181463284,0
AL,16,0.08300326593,0.6958307275,0
AL,17,0.1492143306,0.6557930023,0
AL,18,0.1408324419,0.6552542046,0
AL,19,0.08420628525,0.6713000269,0
AL,20,0.07936709575,0.7352783424,0
AL,21,0.1215498099,0.6125829396,0
AL,22,0.1305240937,0.6760747777,0
AL,23,0.1064542055,0.6393993013,0
AL,24,0.1132450692,0.5990714364,0
AL,25,0.1104811299,0.6685265943,0
AL,26,0.09451308736,0.672974796,0
AL,27,0.1330212669,0.674444494,0
AL,28,0.1163729216,0.6945791899,0
AL,29,0.1342596472,0.6645533678,0
AL,30,0.1470519199,0.654290088,0
AL,31,0.1147783204,0.6221420199,0
AL,32,0.134248366,0.6648366013,0
AL,33,0.1937217195,0.6572539213,0
AL,34,0.1607748869,0.6293797412,0
AL,35,0.1278280543,0.6820824715,0
AL,36,0.09488122172,0.6654902117,0
AL,37,0.06931727093,0.6636260636,0
AL,38,0.06308573922,0.6392223984,0
AL,39,0.08860738325,0.6336789442,0
AL,40,0.05720629659,0.6750498814,0
AL,41,0.1072119208,0.6520548688,0
AL,42,0.1159338605,0.6333276277,0
AL,43,0.1718159244,0.5982908262,0
AL,44,0.1491768231,0.6201104771,0
AL,45,0.1825231276,0.6189122076,0
AL,46,0.1587772431,0.6589919159,0
AL,47,0.175748557,0.6395089286,0
AL,48,0.1806597449,0.6132066754,0
AL,49,0.1440416392,0.5838877259,0
AL,50,0.1948676052,0.6084590246,0
AL,51,0.2009037625,0.5929608549,0
AL,52,0.197919313,0.5726335969,0
AL,53,0.1804588359,0.5666206031,0
AL,54,0.1486813869,0.593726226,0
AL,55,0.1828665573,0.5983116443,0
AL,56,0.1519954429,0.529408457,0
AL,57,0.1714250977,0.54886686,0
AL,58,0.1398637958,0.5365986794,0
AL,59,0.187252002,0.5297674419,0
AL,60,0.1247449101,0.5616660081,0
AL,61,0.1712925203,0.5705784891,0
AL,62,0.1719130448,0.5392005103,0
AL,63,0.1708526148,0.500405534,0
AL,64,0.1678321503,0.5695891462,0
AL,65,0.1865414618,0.4702933657,0
AL,66,0.1793533866,0.4875285913,0
AL,67,0.1719174989,0.4945192422,0
AL,68,0.1997810771,0.5056148878,0
AL,69,0.184641944,0.5053798858,0
AL,70,0.1973422267,0.4821117646,0
AL,71,0.1903529805,0.4655088047,0
AL,72,0.1674043896,0.4871911305,0
AL,73,0.2228255087,0.4774896214,0
AL,74,0.1986275998,0.4852189218,0
AL,75,0.1984043928,0.4756217807,0
AL,76,0.199125436,0.5005917777,0
AL,77,0.176386025,0.4616039465,0
AL,78,0.2165490675,0.4701103891,0
AL,79,0.2171524226,0.4619186005,0
AL,80,0.1861370003,0.5003300558,0
AL,81,0.1587014733,0.5240876363,0
AL,82,0.2047303643,0.4743055556,0
AL,83,0.1690799538,0.4618251391,0
AL,84,0.1765432099,0.4402209227,0
AL,85,0.1816268008,0.5404825263,0
AL,86,0.1799436969,0.4978980617,0
AL,87,0.1896045656,0.488207292,0
AL,88,0.1757016732,0.4629500489,0
AL,89,0.1786878705,0.5080582675,0
AL,90,0.1792917372,0.5415865356,0
AL,91,0.1581741085,0.5352949682,0
AL,92,0.1480933709,0.5070836653,0
AL,93,0.1916366499,0.5396691552,0
AL,94,0.2048653797,0.5557800594,0
AL,95,0.1600030416,0.537655264,0
AL,96,0.1816734217,0.5669153571,0
AL,97,0.2000401731,0.5350301779,0
AL,98,0.1887776554,0.5194280595,0
AL,99,0.1874743774,0.5391468326,0
AL,100,0.182845261,0.507263786,0
GA,1,0.1345250357,0.7430996007,0
GA,2,0.1444532828,0.7516291683,0
GA,3,0.1468921896,0.8221507123,0
GA,4,0.1692259675,0.8074594257,0
GA,5,0.1459454291,0.8066978338,0
GA,6,0.1155474155,0.7696784697,0
GA,7,0.1305807477,0.7589791307,0
GA,8,0.1395412357,0.7345239384,0
GA,9,0.1432730483,0.8199750302,0
GA,10,0.112033311,0.7941910724,0
GA,11,0.1272185769,0.7668791785,0
GA,12,0.1592592593,0.8165420228,0
GA,13,0.08324160704,0.8172353697,0
GA,14,0.06381785184,0.8291861446,0
GA,15,0.05619255619,0.8701087451,0
GA,16,0.1106854681,0.8212860687,0
GA,17,0.09562393337,0.8164310519,0
GA,18,0.1350531714,0.7656775487,0
GA,19,0.06155223547,0.815473859,0
GA,20,0.1018680931,0.777852961,0
GA,21,0.1266694299,0.7847701943,0
GA,22,0.1097920162,0.7729276812,0
GA,23,0.1269262635,0.7538801436,0
GA,24,0.09342125089,0.8150743893,0
GA,25,0.1543456543,0.7423687424,0
GA,26,0.1006981807,0.7582819884,0
GA,27,0.1009615385,0.7794871795,0
GA,28,0.1193757043,0.7583547442,0
GA,29,0.128531795,0.7397142596,0
GA,30,0.1346981007,0.6834889582,0
GA,31,0.1196625359,0.7310848671,0
GA,32,0.1111271339,0.7267929349,0
GA,33,0.1233434846,0.6956826159,0
GA,34,0.1214417764,0.7370787904,0
GA,35,0.1242452054,0.70488159,0
GA,36,0.1277333375,0.7534986771,0
GA,37,0.07329383366,0.7208251042,0
GA,38,0.06635426228,0.6806394696,0
GA,39,0.06030336257,0.6936403509,0
GA,40,0.05402133463,0.6798352975,0
GA,41,0.1743283403,0.6788492638,0
GA,42,0.1797385939,0.6656325534,0
GA,43,0.1558360613,0.6810513957,0
GA,44,0.1272563029,0.6649967509,0
GA,45,0.1918860298,0.6779004678,0
GA,46,0.1614379085,0.6741114223,0
GA,47,0.1398162869,0.6961866532,0
GA,48,0.146743653,0.6786192855,0
GA,49,0.1684671012,0.6397624004,0
GA,50,0.1560294836,0.6709284464,0
GA,51,0.1714763275,0.6215915761,0
GA,52,0.1504426649,0.7024132624,0
GA,53,0.124784992,0.6495610598,0
GA,54,0.1629691686,0.6538989667,0
GA,55,0.1506817257,0.6614858438,0
GA,56,0.1276295185,0.668451451,0
GA,57,0.151990646,0.611198217,0
GA,58,0.1659523034,0.6121805274,0
GA,59,0.1521232736,0.5916387536,0
GA,60,0.1657384657,0.6093093093,0
GA,61,0.1486971128,0.6466117938,0
GA,62,0.1643125711,0.6532847597,0
GA,63,0.1468069207,0.6271587566,0
GA,64,0.1571052368,0.6481225296,0
GA,65,0.174337711,0.5867077941,0
GA,66,0.1819231746,0.5935597922,0
GA,67,0.1647995821,0.6164274692,0
GA,68,0.1731363229,0.6335780729,0
GA,69,0.1778151023,0.6208708849,0
GA,70,0.1792812671,0.6171917761,0
GA,71,0.1873449406,0.6125340088,0
GA,72,0.1767500869,0.6725757576,0
GA,73,0.2297216475,0.6012247192,0
GA,74,0.1841716111,0.5665259873,0
GA,75,0.196497634,0.5490675881,0
GA,76,0.1648351648,0.5713675214,0
GA,77,0.2139964345,0.6120058236,0
GA,78,0.2040579543,0.5554897888,0
GA,79,0.1970198521,0.598040254,0
GA,80,0.1878551369,0.5735285775,0
GA,81,0.1921485838,0.6101230986,0
GA,82,0.1856232683,0.5852857121,0
GA,83,0.2057339422,0.5978513318,0
GA,84,0.1997059554,0.590803795,0
GA,85,0.1487724448,0.5763423989,0
GA,86,0.180090864,0.5858445787,0
GA,87,0.2177846861,0.5741988077,0
GA,88,0.161048012,0.6072950019,0
GA,89,0.1686244303,0.5692045787,0
GA,90,0.171394817,0.5592389075,0
GA,91,0.1335750001,0.586281475,0
GA,92,0.1645334857,0.6172398083,0
GA,93,0.1448681725,0.5109968003,0
GA,94,0.19333058,0.5711259633,0
GA,95,0.1799596052,0.6154633992,0
GA,96,0.1587767603,0.5637997415,0
GA,97,0.1736497476,0.621036397,0
GA,98,0.1829886185,0.5826296592,0
GA,99,0.2005243853,0.5983281649,0
GA,100,0.2028445513,0.5997195513,0
FL,1,0.1677581767,0.6753013183,0
FL,2,0.1589370161,0.6621259678,0
FL,3,0.1699589043,0.7308020416,0
FL,4,0.1667770728,0.7399851441,0
FL,5,0.1428151709,0.7114316239,0
FL,6,0.2122331691,0.708219303,0
FL,7,0.2033572364,0.7396771268,0
FL,8,0.1852531357,0.6618850049,0
FL,9,0.1428815851,0.6799934633,0
FL,10,0.1411204984,0.7040066564,0
FL,11,0.1351980342,0.7035450231,0
FL,12,0.1497961957,0.6523550725,0
FL,13,0.1435843484,0.724073913,0
FL,14,0.1527195094,0.7196818667,0
FL,15,0.1572740347,0.7392410665,0
FL,16,0.1369008358,0.7062201655,0
FL,17,0.1255482878,0.732616177,0
FL,18,0.1097512516,0.7257515385,0
FL,19,0.1405586497,0.7133772913,0
FL,20,0.1388393032,0.7446825863,0
FL,21,0.1399037691,0.6473501813,0
FL,22,0.1398759165,0.6852320064,0
FL,23,0.1301226958,0.6936960411,0
FL,24,0.1178087377,0.6902019802,0
FL,25,0.1258721439,0.7021246506,0
FL,26,0.1140139558,0.700764144,0
FL,27,0.1391266026,0.6971328269,0
FL,28,0.1278391084,0.6929946773,0
FL,29,0.1408423969,0.7015203447,0
FL,30,0.1346949608,0.7040613362,0
FL,31,0.1459866363,0.6849765913,0
FL,32,0.1043193806,0.7292589668,0
FL,33,0.09376827004,0.686825144,0
FL,34,0.09348107779,0.728273648,0
FL,35,0.09319388554,0.7005860062,0
FL,36,0.09290669329,0.6623857968,0
FL,37,0.07962558906,0.6801344375,0
FL,38,0.07793136453,0.6838802216,0
FL,39,0.06436978499,0.7185337157,0
FL,40,0.08667767136,0.6928963014,0
FL,41,0.1705639497,0.6176942092,0
FL,42,0.1822083191,0.6330188708,0
FL,43,0.1592852905,0.669416759,0
FL,44,0.1552894368,0.6055488776,0
FL,45,0.1811352635,0.6651526757,0
FL,46,0.1695714879,0.6747985699,0
FL,47,0.1531550424,0.6434408294,0
FL,48,0.1689205436,0.6454989029,0
FL,49,0.118808394,0.6359168334,0
FL,50,0.1507743632,0.6456049874,0
FL,51,0.1769062492,0.6449429768,0
FL,52,0.1595475263,0.6849385705,0
FL,53,0.1511502482,0.6709054318,0
FL,54,0.1678439949,0.689242848,0
FL,55,0.1516747843,0.6746694668,0
FL,56,0.1538223791,0.6275740338,0
FL,57,0.1817971416,0.6328420591,0
FL,58,0.1851385429,0.6201660486,0
FL,59,0.1741891887,0.6408014269,0
FL,60,0.17446917,0.6188644996,0
FL,61,0.1976822916,0.6113103376,0
FL,62,0.1835283533,0.6238832288,0
FL,63,0.1609164198,0.625473078,0
FL,64,0.1676274322,0.5989960301,0
FL,65,0.1957779729,0.5818841927,0
FL,66,0.1911645941,0.5987740048,0
FL,67,0.1816753306,0.5917584323,0
FL,68,0.2002020879,0.6024326982,0
FL,69,0.1957837243,0.5242906488,0
FL,70,0.2062672113,0.5317388091,0
FL,71,0.1982908966,0.5299188077,0
FL,72,0.1984147464,0.5236175066,0
FL,73,0.2407461869,0.5821458921,0
FL,74,0.2225541589,0.5569918291,0
FL,75,0.1968376238,0.5302586392,0
FL,76,0.1959066872,0.5179342462,0
FL,77,0.2430668473,0.5880984643,0
FL,78,0.1836524488,0.5541347899,0
FL,79,0.1950515434,0.5063520904,0
FL,80,0.19797959,0.5433898338,0
FL,81,0.2113706397,0.5325676163,0
FL,82,0.2305983695,0.5812410695,0
FL,83,0.2158940878,0.5241467771,0
FL,84,0.2060996481,0.5161523859,0
FL,85,0.1737999928,0.5984931572,0
FL,86,0.1685700227,0.5945613896,0
FL,87,0.1911994211,0.5895761622,0
FL,88,0.1665998091,0.5535790075,0
FL,89,0.1651867408,0.5711773461,0
FL,90,0.1740830957,0.5972839699,0
FL,91,0.1905335025,0.5787924743,0
FL,92,0.1618211198,0.5808956538,0
FL,93,0.167339638,0.5131160767,0
FL,94,0.1948859722,0.5841245583,0
FL,95,0.1873503793,0.5705520586,0
FL,96,0.1625456442,0.5454355764,0
FL,97,0.187069768,0.5456839858,0
FL,98,0.2212612053,0.5613867169,0
FL,99,0.1944829326,0.5637731829,0
FL,100,0.1838521643,0.5791545278,0
TN,1,0.1742736667,0.7567291769,0
TN,2,0.1395296,0.7284782994,0
TN,3,0.1220802667,0.748622064,0
TN,4,0.1457507667,0.7311684618,0
TN,5,0.1392893,0.7278060243,0
TN,6,0.1111007233,0.7476043085,0
TN,7,0.1407867633,0.7199646836,0
TN,8,0.1518804667,0.7358980343,0
TN,9,0.1204568,0.7378450409,0
TN,10,0.1026452967,0.7446571019,0
TN,11,0.1509901333,0.756278485,0
TN,12,0.1082061267,0.7003318401,0
TN,13,0.1195660667,0.6637384667,0
TN,14,0.1673613333,0.6788583618,0
TN,15,0.1286057667,0.693978257,0
TN,16,0.1304120333,0.7090981521,0
TN,17,0.09575498333,0.7123056183,0
TN,18,0.1033128967,0.7048091795,0
TN,19,0.1248887633,0.725385687,0
TN,20,0.1046165633,0.7514754571,0
TN,21,0.1377575667,0.739204649,0
TN,22,0.09261244667,0.716580863,0
TN,23,0.1436485333,0.7387311952,0
TN,24,0.11055174,0.7353645936,0
TN,25,0.1056458133,0.6822214768,0
TN,26,0.1053768067,0.7162115975,0
TN,27,0.09532619667,0.7028331685,0
TN,28,0.10268547,0.7218851624,0
TN,29,0.09264918,0.7283791324,0
TN,30,0.12654203,0.7302746461,0
TN,31,0.08244697,0.7390904587,0
TN,32,0.07301587333,0.6998949242,0
TN,33,0.05413105,0.7035673852,0
TN,34,0.0519943,0.7197402152,0
TN,35,0.04985755,0.7011461686,0
TN,36,0.0477208,0.6865226099,0
TN,37,0.06905192,0.7271541867,0
TN,38,0.05258914667,0.7037605858,0
TN,39,0.05882547667,0.7271348621,0
TN,40,0.0808223,0.6850737986,0
TN,41,0.1514731333,0.6696138174,0
TN,42,0.1052527067,0.6717110573,0
TN,43,0.1313443667,0.7066300283,0
TN,44,0.1079949367,0.6837679862,0
TN,45,0.1442354333,0.6883477591,0
TN,46,0.1712848,0.6638385747,0
TN,47,0.1567642333,0.6845237154,0
TN,48,0.1253172,0.6959846049,0
TN,49,0.1425536667,0.6697372961,0
TN,50,0.1440922333,0.6832730659,0
TN,51,0.09389480333,0.7014659385,1
TN,52,0.11871248,0.7007509424,1
TN,53,0.160319,0.6258033662,1
TN,54,0.1506549667,0.6619000697,1
TN,55,0.2186850667,0.6177303894,1
TN,56,0.1405486,0.6743090395,1
TN,57,0.1815703,0.6128387425,1
TN,58,0.1661939667,0.6240569109,1
TN,59,0.1778113667,0.5874515321,1
TN,60,0.1646624033,0.6277120761,1
TN,61,0.1721355,0.5620322262,1
TN,62,0.1981957,0.5736305248,1
TN,63,0.1824735,0.6087680934,1
TN,64,0.1703124,0.620510442,1
