Region,Armenia,Australia,Austria,Azerbaijan,Belgium,Botswana,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Republic,Denmark,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Latvia,Lithuania,Luxembourg,Macau,Malaysia,Malta,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,United States
2007-12-31,2402.990247,320617.6093,109057.0062,15096.56885,132415.3892,3195.886002,509537.1108,14980.47469,416983.5452,53558.55244,15820.40945,6446.706373,53675.97137,92017.67289,66003.90806,7254.939998,76410.43105,707910.5032,955977.6333,80378.25138,65474.10262,36941.60701,4645.27117,64935.50577,62934.19441,602095.2692,1252878.614,7168.278981,9454.26671,12139.35153,16016.12666,8030.827774,64504.83755,2216.365045,313441.8263,227593.6704,47163.52742,125134.8198,7721.628669,37077.4305,56944.01889,122618.7049,62890.65247,56521.4011,12141.46469,57325.71373,23668.0591,13129.73659,85905.66023,329906.4892,385255.8498,145423.3194,168438.4848,115639.6735,87351.24071,183321.6509,752614.8912,4151568.496
2008-03-31,1173.433088,296526.9014,104803.0537,11886.05138,124748.9456,3195.492488,501518.4694,11976.95412,392665.5565,51813.53568,15108.51686,6238.627084,49207.87077,86173.16573,65890.48429,6138.017461,70109.15902,689706.656,934123.7515,75501.13007,61336.00248,32097.17432,4456.251038,62826.73794,62819.75503,580018.1636,1228519.997,6861.235835,7849.212597,10819.01753,16006.91102,7601.758941,63262.21724,2234.971617,304576.9855,224359.7871,44777.44254,117250.2835,7440.906599,35238.25018,50514.78251,108398.8811,61471.96216,37025.15845,10819.31597,57581.55006,21383.4703,12771.15996,82897.38184,305574.2429,360989.1868,132978.6327,163864.322,106936.9548,87962.49473,163861.2424,737007.6668,4032846.218
2008-06-30,1839.946053,310784.7729,109123.9918,13481.81154,129867.3278,3195.838012,524478.0402,13514.5069,404212.616,52968.97005,16762.18986,6584.041384,52942.4939,89275.74547,67180.02528,6963.124321,73784.68342,694399.5645,946863.2132,79796.98901,59732.57601,35412.70582,4549.477659,61514.59162,62307.32604,597649.9815,1184146.833,7523.111323,8636.997364,11954.59757,16206.66967,7769.574476,64536.03473,2332.845034,321342.8204,229561.6165,43725.79088,118021.7723,7669.964721,38867.51795,54933.80066,111150.558,62248.39836,46005.28657,11593.92914,56778.43382,23259.49855,13858.99331,85818.63175,321267.6046,377646.0085,141086.4219,169965.8235,110362.1308,83592.88253,169592.3628,724813.9252,4075321.62
2008-09-30,2919.115464,311568.6194,106945.0441,17762.07363,123404.2082,3486.020599,542572.8363,15306.23775,420927.0268,50249.3205,18274.94369,6664.70058,53797.26026,87012.34701,67922.22388,6844.128248,71644.65341,676551.4919,946759.6409,82106.19798,63005.47872,36208.31061,4593.643853,61482.03216,63569.29348,578535.6122,1195235.499,7774.652218,8362.620361,12590.24047,15444.62742,7293.841533,66611.25522,2501.916092,313650.9889,220588.6639,42286.00767,115056.0058,7457.375092,38567.68565,52574.2909,110682.3918,62473.30273,54378.49298,12009.89266,57513.70481,24897.18955,13544.19474,86526.68057,321328.0815,364431.3776,125459.1876,170323.8693,110433.1527,83135.8875,180066.7015,732158.5817,4042355.262
2008-12-31,2351.019635,325755.501,107788.4141,16849.95396,129471.8939,3187.430261,514777.1779,15515.08565,422295.2457,53959.66555,15870.56279,6530.313248,53025.80511,88537.72074,68716.77192,6395.449004,74338.29705,699214.9932,937852.3773,79220.42939,63716.30528,36161.28788,4612.036542,58255.38947,62972.29545,580804.6598,1204553.604,7920.16605,8678.251653,11812.0356,15279.26516,7396.261589,64715.92499,2356.896131,311739.2573,226656.1111,46171.01961,123839.6514,8068.843539,39481.60473,58734.12984,125682.1693,61643.62831,60452.81278,12385.66821,55360.95818,23889.02914,12966.24221,86883.5515,324309.0266,378686.6955,137267.7426,167688.8747,107128.6696,85620.31797,172282.4159,721714.6085,4030360.483
2009-03-31,1186.094643,302196.4777,100041.186,12595.36369,120408.3375,2210.096384,489351.3585,11698.85875,387418.5033,50642.89123,13770.14035,6135.726315,46994.00773,82358.3102,68736.54837,5394.03918,63897.97978,661573.4625,871772.8825,70165.529,56573.43175,29779.26998,4164.408883,58343.30002,62360.88007,536206.6558,1117780.424,7386.959835,6889.434458,9308.691762,14854.30751,7100.174518,59620.60095,2191.327027,283678.0736,215845.171,43791.40359,118229.3478,7307.013718,36152.34633,51079.16294,110128.6836,58790.62934,35105.03977,10583.83794,53139.60056,20136.84947,11874.12979,81982.68825,299220.6016,344175.8778,125297.3763,158731.8472,98515.02926,84199.06079,140034.3191,692625.5616,3834480.149
2009-06-30,1551.202011,316590.4132,102975.6768,14316.1456,124308.9926,2698.475386,512923.8659,13229.97884,390250.5837,51473.16233,15353.17793,6406.108804,49925.89269,83088.47649,70277.36664,5738.442357,66921.96362,667865.4381,874155.0568,76715.81027,57895.30059,32549.42669,4155.558692,58527.80364,63156.12342,556176.1409,1106406.841,8128.458135,7289.794154,10075.50804,15364.28264,6980.885277,62119.96271,2284.65391,288120.6341,218917.7662,43936.49086,112633.3951,7405.367049,38582.39262,55973.21985,112899.6028,59858.78933,42688.1506,11183.34676,56112.38644,21846.10323,12523.52853,83602.33634,317154.7409,360482.6238,132305.938,162998.3364,103828.9066,81036.95003,158044.7385,677540.126,3915065.009
2009-09-30,2450.744194,317087.3422,103217.2098,19045.15105,120956.9694,2998.380634,536264.6123,14897.78624,402700.9334,49888.80262,16917.54714,6467.742077,50639.07959,82454.78511,71067.26139,5512.922887,66113.73996,659181.166,896216.0832,78720.15509,61937.65586,33464.61476,4339.216585,58198.95307,64254.2128,553142.0243,1130281.653,8585.031018,7052.385521,10783.76153,15083.53024,7615.999163,65860.99483,2459.437097,295231.1782,212132.065,42672.29097,113057.5153,7489.014192,38528.90786,53062.11422,113803.2389,60770.35829,51364.05597,11691.88949,59145.43667,23408.78266,12397.02888,84863.81567,324747.0708,351568.1474,119738.3369,165514.9927,109181.6845,82718.70409,177238.983,700176.4749,3956015.03
2009-12-31,2345.940207,333548.1181,107053.5294,19643.04768,131561.6708,3309.918525,542185.5872,14601.29209,408088.7936,54650.0329,15212.19866,6483.686337,51387.22743,85637.11968,72131.69983,5841.482393,69537.26571,693298.664,914548.4837,77406.06508,65290.47334,34658.05867,4156.537226,56570.97997,64703.68513,568066.9175,1184003.449,8205.909035,7514.459003,10007.68301,15596.62051,8747.439544,67601.44899,2359.685826,305507.0631,221195.5246,47218.97478,121046.8644,8355.690115,40558.76284,59781.84859,131995.138,60679.90761,57789.02083,12071.03091,59127.97762,22893.92493,12312.22054,86415.1994,341789.1977,369690.9941,136606.8281,169162.9653,116321.1608,90006.61398,177407.3608,710631.3757,4058423.83
2010-03-31,1304.654132,307870.4909,99869.50641,13217.64854,123520.7434,2907.795755,534416.1792,11308.9256,390033.6169,51621.62891,13488.57748,6230.186005,47253.48743,81667.43612,72585.97656,5299.988459,64314.49569,670940.9151,894766.0593,70488.33097,61059.1393,29721.76193,3883.824621,58173.99082,64961.01704,540864.638,1166443.08,7531.480018,6155.659691,9105.951289,15670.08601,8314.208185,65753.20312,2360.876502,296450.2446,215540.0001,45735.75781,119275.5538,8295.373955,38134.37193,55226.96913,111204.7805,59683.59208,34636.63554,10575.65831,61794.7707,21663.8091,11731.94605,84025.82667,322734.8001,344237.2272,127872.1314,164692.4086,109892.6639,94438.63597,149725.224,695754.9289,3909933.48
2010-06-30,1738.747075,325572.85,104594.304,14934.32296,128789.7048,3089.051895,556613.3776,13619.13282,400806.6807,54773.89178,14950.78339,6548.937215,51523.14537,84861.47474,74065.13883,5844.179188,69551.62832,682680.1072,915169.9173,73022.12465,61588.19252,32800.10701,4039.278836,59034.64593,66851.1338,568557.2453,1144959.542,8244.483924,6878.824357,10081.68184,16129.56984,9119.328409,67762.62015,2402.172061,308825.7386,223108.9346,45525.05783,115492.1706,8398.026211,42215.04438,60437.04304,116313.0576,61245.02061,42519.04005,11260.47159,66561.8567,23372.07749,12715.95838,86331.91431,342876.1284,361289.3085,139997.8632,169074.9083,116309.3133,88314.7084,170811.2822,695633.3603,4038794.432
2010-09-30,2373.237734,325580.2448,105818.4521,19809.65777,124297.2081,3198.07432,573305.2645,15017.34186,415873.0296,53630.43608,17117.05843,6646.344584,52128.72195,84836.06021,74954.4975,5813.503147,67653.15142,674396.6982,937955.9496,72752.05328,65976.62676,34013.84131,4221.852428,59703.20022,67332.79306,562600.2232,1193473.264,8795.166346,6979.452009,10759.48276,15420.09565,9702.629796,69663.46519,2622.487343,309135.4236,215673.4399,43269.27425,111495.0615,8173.281993,42215.86214,56813.16172,118575.2298,61950.56303,47750.73662,11854.50724,65229.07275,24936.72767,12615.54426,87678.87954,343473.6749,352065.9652,128477.1455,169878.4438,121781.707,87490.44897,192632.2348,721020.7113,4078041.658
2010-12-31,2481.134188,342247.335,110481.6365,20779.53903,134871.7936,3157.33128,573032.311,15329.06547,428153.3482,58721.65525,14946.37802,6649.426247,53441.57596,87453.42296,76185.87246,6080.036372,73441.28629,707547.8762,956288.3501,72244.99875,69430.21108,35308.8138,4194.413962,58626.56734,69331.51686,579493.7889,1219578.39,8483.067339,7451.33778,10400.1585,15969.01009,10956.8647,71235.58764,2485.618112,316416.2769,225199.8774,46772.62351,122363.8154,9080.782172,44074.32058,63547.46907,136492.2929,61392.37644,54738.12799,12172.31303,66975.81992,24307.93611,12589.59544,89067.18418,363395.459,369668.4685,147157.1227,174052.3044,123697.8731,93109.89005,194562.5109,730672.4396,4162085.14
2011-03-31,1433.029387,314039.9542,104844.4729,12884.94179,126418.4103,3299.629588,562179.7258,11532.23603,404433.1251,56147.03062,13188.13573,6335.900467,48795.3646,83695.91733,69443.2657,5780.916876,67809.83452,694020.2177,949866.8331,63050.5686,65702.82043,30581.72234,4013.145799,59442.72452,68970.40252,552487.6405,1178881.405,7744.384158,6089.388305,9684.022712,15894.24662,10082.18647,69044.10373,2397.23356,307460.5594,221960.1924,45645.19378,119105.6494,8922.276192,41342.94385,57892.78441,116800.8728,59621.7977,35845.14334,10908.22659,67451.65557,22196.40356,12115.35561,86855.72402,340166.9377,345262.8087,136595.7147,169043.7016,117279.8933,97531.53983,167395.6987,711592.997,4006907.026
2011-06-30,1930.892473,333143.6238,108021.8041,15005.43389,130973.7573,3219.794344,582776.9912,14145.70385,411635.536,58201.00487,15175.68077,6670.729922,52698.26314,86607.21925,74323.97768,6319.938748,70948.7193,700795.2848,950073.9777,65990.09691,64729.43237,33297.82032,4074.574565,60611.60921,69627.75941,577512.1024,1135064.201,8452.579891,7060.249665,10642.58102,15989.25853,11400.06422,70901.1859,2439.86764,316513.6155,228281.7553,45499.18239,114535.2733,8806.959407,44445.95714,62588.79795,122203.103,60554.01005,43988.60147,11542.53593,68504.40557,24039.79131,12712.83838,89033.18557,356036.248,359902.2559,144772.8515,173266.7232,121147.5782,89928.97691,190529.3713,702708.9267,4099630.331
2011-09-30,2728.778473,335329.5202,108109.7711,19758.82757,126165.6992,3446.275739,593585.0532,15426.24408,428945.9411,56045.46394,17187.89426,6589.400799,52702.64359,84647.2904,75149.35372,6348.929292,69589.49341,688329.7424,967888.5048,66566.50218,68563.48522,34457.21164,4316.424089,60258.88171,72134.26128,566102.4516,1189733.256,9028.23202,7324.47776,11555.27028,15748.48381,11887.40842,73844.65614,2631.954763,320603.3386,219116.1853,44393.93161,116243.2862,8377.558643,44669.25789,58537.8833,125050.5846,60666.86968,52394.02374,11979.90657,70285.84111,25444.19509,12630.90532,90312.8749,354165.4672,350476.1814,132513.2031,172138.7298,125780.0316,89595.21253,215009.1051,723842.7422,4120227.797
2011-12-31,2813.153339,353515.4977,112105.5791,20010.6681,136588.3961,3231.27342,587747.7979,15325.61501,441012.8353,61968.73818,14915.84547,6587.525004,53772.46525,88309.32432,76490.08082,6340.501808,73616.24909,719102.1915,975760.0456,62788.84298,71482.99435,36034.85064,4236.814081,59110.61801,72970.05212,571337.6534,1221900.285,8733.75454,7698.033896,11016.8154,16216.79389,12957.72539,75151.86293,2500.039833,328640.4304,225791.6536,48939.6913,123923.7066,9295.784427,46725.04819,66111.55757,142863.3639,59243.29015,55492.85238,12366.1774,70513.34477,25016.29659,12519.39022,91900.19961,372729.0013,362486.3503,146818.3859,175536.3104,124803.8763,89350.60499,214063.7596,737301.3438,4215348.13
