unit,time,yyyymm,y,treat
C5,22,201112,0.0804399527540838,0
C5,23,201201,-0.30116326258404,0
C5,24,201202,0.450539191136733,0
C5,25,201203,-0.204517324356817,0
C5,26,201204,-0.23234482456239,0
C5,27,201205,0.144486348307439,0
C5,28,201206,-0.147121061714982,0
C5,29,201207,-0.128771199945168,0
C5,30,201208,-0.0201521880403766,0
C5,31,201209,0.007308318378727,0
C5,32,201210,0.13374671167721,0
C5,33,201211,0.136589516178864,0
C5,34,201212,-0.0898997081910151,0
C5,35,201301,0.137062710637131,0
C5,36,201302,-0.0431759119335773,0
C5,37,201303,0.245301417595347,0
C5,38,201304,-0.157169660454186,0
C5,39,201305,0.0044446458361573,0
C5,40,201306,0.0539272089405385,0
C5,41,201307,-0.0896673328936579,0
C5,42,201308,-0.141370049160627,0
C5,43,201309,-0.150193318147843,0
C5,44,201310,0.215306740636813,0
C5,45,201311,0.017874972420846,0
C5,46,201312,-0.0417749472752371,0
C5,47,201401,0.137847233880359,0
C5,48,201402,-0.0977890926530938,0
C5,49,201403,0.0145100523003761,0
C5,50,201404,0.158384961249221,0
C5,51,201405,-0.104999249115064,0
C5,52,201406,-0.111828514458698,0
C5,53,201407,0.0160560173644502,0
C5,54,201408,-0.115099018435196,0
C5,55,201409,0.039869715144107,0
C5,56,201410,0.0575983282827828,0
C5,57,201411,0.0950286555023734,0
C5,58,201412,0.0986372224197556,0
C5,59,201501,-0.181694755504123,0
C5,60,201502,0.0054022881352704,0
C5,61,201503,0.113436615149765,0
C5,62,201504,-0.051498648077013,0
C5,63,201505,0.0256654846510269,0
C5,64,201506,0.0674572515015788,0
C5,65,201507,-0.161225630190809,0
C5,66,201508,-0.0179963859025793,0
C5,67,201509,0.0482678528438401,0
C5,68,201510,-0.0664583099146201,0
C5,69,201511,0.0230735952074488,0
C5,70,201512,0.138826892541489,0
C6,0,201002,0.323776329588309,0
C6,1,201003,0.601702397932941,0
C6,2,201004,0.0891525114587068,0
C6,3,201005,0.221122985690299,0
C6,4,201006,0.0991761300573231,0
C6,5,201007,0.223277864150047,0
C6,6,201008,-0.696899457372691,0
C6,7,201009,-0.195242394076469,0
C6,8,201010,0.392432505181853,0
C6,9,201011,-0.844085241552289,0
C6,10,201012,0.0264830163320677,0
C6,11,201101,-0.0880144570986916,0
C6,12,201102,0.566608604831181,0
C6,13,201103,0.477081724763218,0
C6,14,201104,0.186669874587714,0
C6,15,201105,0.0188868633672485,0
C6,16,201106,0.369067505946024,0
C6,17,201107,0.14935254442364,0
C6,18,201108,-0.398533385782948,0
C6,19,201109,-0.0947787074719475,0
C6,20,201110,-0.611058817148367,0
C6,21,201111,-0.102980683720641,0
C6,22,201112,0.199370349591542,0
C6,23,201201,-0.529855548026178,0
C6,24,201202,0.475216819448474,0
C6,25,201203,0.388502399670946,0
C6,26,201204,0.105152142598529,0
C6,27,201205,-0.0657419946619333,0
C6,28,201206,0.186270684715399,0
C6,29,201207,0.253761473289341,0
C6,30,201208,0.29874351719295,0
C6,31,201209,-0.759310672716206,0
C6,32,201210,-0.23088147972116,0
C6,33,201211,0.190571686608668,0
C6,34,201212,0.0278069073622702,0
C6,35,201301,0.0348347190179648,0
C6,36,201302,1.3803009184965e-05,0
C6,37,201303,0.152055548728552,0
C6,38,201304,0.217809091317235,0
C6,39,201305,0.0571722814299149,0
C6,40,201306,-0.0997368726284891,0
C6,41,201307,0.213810579487196,0
C6,42,201308,0.338928621948425,0
C6,43,201309,-0.373169354220917,0
C6,44,201310,-0.60188938547323,0
C6,45,201311,0.0139311860717704,0
C6,46,201312,0.182710056986142,0
C6,47,201401,-0.270824849818466,0
C6,48,201402,0.511321249673986,0
C6,49,201403,-0.0119144582654007,0
C6,50,201404,0.0488547941532786,0
C6,51,201405,-0.0674010812536712,0
C6,52,201406,0.0195995676950873,0
C6,53,201407,0.392981429186464,0
C6,54,201408,0.14899620661126,0
C6,55,201409,-0.0662832181164217,0
C6,56,201410,-0.707516456035482,0
C6,57,201411,-0.368804105098004,0
C6,58,201412,0.363990724607323,0
C6,59,201501,0.048653449443933,0
C6,60,201502,0.316677955535795,0
C6,61,201503,0.291727974504368,0
C6,62,201504,-0.414836274348524,0
C6,63,201505,-0.0453990579402821,0
C6,64,201506,0.0012617523389773,0
C6,65,201507,0.506160852435915,0
C6,66,201508,0.150609477983262,0
C6,67,201509,-0.282694098810485,0
C6,68,201510,-0.410175753323714,0
C6,69,201511,-0.588234782267937,0
C6,70,201512,0.377426751047433,0
C7,0,201002,0.179241601571161,0
C7,1,201003,0.258040606769383,0
C7,2,201004,0.127990074778003,0
C7,3,201005,-0.474751518621389,0
C7,4,201006,-0.0383926205426022,0
C7,5,201007,-0.43729654009384,0
C7,6,201008,-0.256803074100691,0
C7,7,201009,0.335960193139079,0
C7,8,201010,-0.147368937751726,0
C7,9,201011,0.203108554250557,0
C7,10,201012,0.370978409557839,0
C7,11,201101,-0.0656840948671347,0
C7,12,201102,0.276957467919538,0
C7,13,201103,0.0851359705252168,0
C7,14,201104,-1.13017572392736,0
C7,15,201105,1.21022311141115,0
C7,16,201106,-1.17142830094024,0
C7,17,201107,0.695527846103293,0
C7,18,201108,0.381738496637945,0
C7,19,201109,-0.48895308928398,0
C7,20,201110,0.262933962129467,0
