country,year,gdp,Handover
Hong Kong,1997,26631.8652426178,1
Hong Kong,1998,24856.8323960471,1
Hong Kong,1999,25237.7083727094,1
Hong Kong,2000,26933.2785287204,1
Hong Kong,2001,26885.4740776153,1
Hong Kong,2002,27210.1196148928,1
Hong Kong,2003,28097.1484393683,1
Hong Kong,2004,30304.3331882473,1
Hong Kong,2005,32401.4024779329,1
Hong Kong,2006,34458.0396412134,1
Hong Kong,2007,36371.6888698119,1
Hong Kong,2008,36924.0916159598,1
Hong Kong,2009,35938.5997765398,1
Hong Kong,2010,38090.0341362458,1
Italy,1961,10459.714363523,0
Italy,1962,11033.68886401,0
Italy,1963,11567.9458703087,0
Italy,1964,11794.1608356407,0
Italy,1965,12077.4620215465,0
Italy,1966,12701.1618805091,0
Italy,1967,13514.7573625089,0
Italy,1968,14308.5594206087,0
Italy,1969,15095.4127878086,0
Italy,1970,15813.2011151821,0
Italy,1971,16025.774880121,0
Italy,1972,16523.1331630299,0
Italy,1973,17580.9120721826,0
Italy,1974,18426.9080079986,0
Italy,1975,17934.3228585104,0
Italy,1976,19116.6107654729,0
Italy,1977,19522.9969341739,0
Italy,1978,20083.8802098074,0
Italy,1979,21219.2669568741,0
Italy,1980,21901.9268726405,0
Italy,1981,22060.3287109607,0
Italy,1982,22135.1628478985,0
Italy,1983,22385.8416078726,0
Italy,1984,23102.8115432379,0
Italy,1985,23742.3854885964,0
Italy,1986,24420.0802796796,0
Italy,1987,25196.9881135514,0
Italy,1988,26241.1619178713,0
Italy,1989,27109.9705713608,0
Italy,1990,27625.1792401549,0
Italy,1991,28030.7653844433,0
Italy,1992,28245.4271224971,0
Italy,1993,27987.4328992052,0
Italy,1994,28583.6255334144,0
Italy,1995,29408.3209648256,0
Italy,1996,29795.659782462,0
Italy,1997,30353.3778330306,0
Italy,1998,30892.1758716425,0
Italy,1999,31405.2609086396,0
Italy,2000,32609.6674684471,0
Italy,2001,33245.2803732961,0
Italy,2002,33285.4148556776,0
Italy,2003,33159.8415780158,0
Italy,2004,33431.5599098693,0
Italy,2005,33521.3202180455,0
Italy,2006,34022.1190389231,0
Italy,2007,34345.7598862545,0
Italy,2008,33769.8973537384,0
Italy,2009,31832.9860141479,0
Italy,2010,32220.4860698495,0
Korea,1961,1066.80385223795,0
Korea,1962,1077.11603032602,0
Korea,1963,1142.0276294736,0
Korea,1964,1217.94699410879,0
Korea,1965,1274.2724441705,0
Korea,1966,1391.67246263597,0
Korea,1967,1482.99525342715,0
Korea,1968,1639.75015442225,0
Korea,1969,1836.47870739596,0
Korea,1970,1977.42941286358,0
Korea,1971,2143.28913020771,0
Korea,1972,2255.20673616978,0
Korea,1973,2545.77754274699,0
Korea,1974,2740.58529939811,0
Korea,1975,2906.15049933566,0
Korea,1976,3238.2698721178,0
Korea,1977,3581.46823922047,0
Korea,1978,3913.83317387391,0
Korea,1979,4189.18148771045,0
Korea,1980,4056.5260070304,0
Korea,1981,4283.11960147149,0
Korea,1982,4569.08717491563,0
Korea,1983,5104.44809742942,0
Korea,1984,5573.84271916316,0
Korea,1985,5951.87908924407,0
Korea,1986,6560.47967201762,0
Korea,1987,7322.71986885993,0
Korea,1988,8120.63968724428,0
Korea,1989,8609.42611390093,0
Korea,1990,9367.09258686755,0
Korea,1991,10274.4827454694,0
Korea,1992,10798.561680692,0
Korea,1993,11424.5851330612,0
Korea,1994,12358.5180229628,0
Korea,1995,13411.1119170158,0
Korea,1996,14332.1367231987,0
Korea,1997,15074.4883429924,0
Korea,1998,14198.386270755,0
Korea,1999,15714.4119484746,0
Korea,2000,16995.5591864626,0
Korea,2001,17684.0503773277,0
Korea,2002,18940.3842233935,0
Korea,2003,19435.4934104303,0
Korea,2004,20364.7599656771,0
Korea,2005,21197.1990880347,0
Korea,2006,22196.2077459266,0
Korea,2007,23365.1402064812,0
Korea,2008,23887.0595538423,0
Korea,2009,23952.8132191069,0
Korea,2010,25455.6174843658,0
Netherlands,1961,14224.1232711088,0
Netherlands,1962,14982.6014413175,0
Netherlands,1963,15317.7070002317,0
Netherlands,1964,16364.8358936203,0
Netherlands,1965,17536.8824970256,0
Netherlands,1966,17783.9544414764,0
Netherlands,1967,18511.9893625218,0
Netherlands,1968,19496.2110458952,0
