unit,week,sales,showroom
Control2,100,2755.0,0
Control2,101,3138.75,0
Control2,102,3091.25,0
Control2,103,3037.5,0
Control2,104,2453.75,0
Control2,105,3412.5,0
Control2,106,2897.5,0
Control2,107,3378.75,0
Control2,108,3841.25,0
Control2,109,3366.25,0
Control2,110,2260.0,0
Control3,1,166.25,0
Control3,2,95.0,0
Control3,3,235.125,0
Control3,4,166.25,0
Control3,5,47.5,0
Control3,6,47.5,0
Control3,7,95.0,0
Control3,8,166.25,0
Control3,9,23.75,0
Control3,10,23.75,0
Control3,11,47.5,0
Control3,12,190.0,0
Control3,13,118.75,0
Control3,14,47.5,0
Control3,15,71.25,0
Control3,16,213.75,0
Control3,17,118.75,0
Control3,18,118.75,0
Control3,19,273.75,0
Control3,20,142.5,0
Control3,21,166.25,0
Control3,22,23.75,0
Control3,23,166.25,0
Control3,24,118.75,0
Control3,25,213.75,0
Control3,26,95.0,0
Control3,27,237.5,0
Control3,28,237.5,0
Control3,29,285.0,0
Control3,30,142.5,0
Control3,31,118.75,0
Control3,32,95.0,0
Control3,33,23.75,0
Control3,34,203.75,0
Control3,35,95.0,0
Control3,36,237.5,0
Control3,37,166.25,0
Control3,38,107.5,0
Control3,39,47.5,0
Control3,40,145.0,0
Control3,41,237.5,0
Control3,42,71.25,0
Control3,43,285.0,0
Control3,44,142.5,0
Control3,45,213.75,0
Control3,46,356.25,0
Control3,47,332.5,0
Control3,48,641.25,0
Control3,49,712.5,0
Control3,50,522.5,0
Control3,51,285.0,0
Control3,52,380.0,0
Control3,53,498.75,0
Control3,54,403.75,0
Control3,55,380.0,0
Control3,56,916.25,0
Control3,57,451.25,0
Control3,58,498.75,0
Control3,59,427.5,0
Control3,60,570.0,0
Control3,61,475.0,0
Control3,62,495.0,0
Control3,63,546.25,0
Control3,64,261.25,0
Control3,65,356.25,0
Control3,66,498.75,0
Control3,67,451.25,0
Control3,68,308.75,0
Control3,69,475.0,0
Control3,70,285.0,0
Control3,71,807.5,0
Control3,72,403.75,0
Control3,73,760.0,0
Control3,74,593.75,0
Control3,75,807.5,0
Control3,76,677.5,0
Control3,77,570.0,0
Control3,78,760.0,0
Control3,79,902.5,0
Control3,80,1143.75,0
Control3,81,475.0,0
Control3,82,797.5,0
Control3,83,1130.0,0
Control3,84,740.0,0
Control3,85,832.9225,0
Control3,86,407.5,0
Control3,87,593.75,0
Control3,88,773.75,0
Control3,89,678.75,0
Control3,90,712.5,0
Control3,91,855.0,0
Control3,92,475.0,0
Control3,93,857.5,0
Control3,94,987.5,0
Control3,95,1377.5,0
Control3,96,783.75,0
Control3,97,963.875,0
Control3,98,1191.25,0
Control3,99,1510.0,0
Control3,100,1371.25,0
Control3,101,976.125,0
Control3,102,1286.25,0
Control3,103,1312.9225,0
Control3,104,1427.5,0
Control3,105,1215.0,0
Control3,106,1452.5,0
Control3,107,1608.75,0
Control3,108,1569.26,0
Control3,109,1622.5,0
Control3,110,811.25,0
Control4,1,261.25,0
Control4,2,213.75,0
Control4,3,142.5,0
Control4,4,356.25,0
Control4,5,166.25,0
Control4,6,23.75,0
Control4,7,166.25,0
Control4,8,213.75,0
Control4,9,142.5,0
Control4,10,95.0,0
Control4,11,118.75,0
Control4,12,285.0,0
Control4,13,166.25,0
Control4,14,47.5,0
Control4,15,166.25,0
Control4,16,213.75,0
Control4,17,190.0,0
Control4,18,190.0,0
Control4,19,95.0,0
Control4,20,308.75,0
Control4,21,142.5,0
Control4,22,166.25,0
Control4,23,451.25,0
Control4,24,237.5,0
Control4,25,308.75,0
Control4,26,308.75,0
Control4,27,213.75,0
Control4,28,166.25,0
Control4,29,213.75,0
Control4,30,285.0,0
Control4,31,380.0,0
Control4,32,275.0,0
Control4,33,275.0,0
Control4,34,190.0,0
Control4,35,298.75,0
Control4,36,393.75,0
Control4,37,237.5,0
Control4,38,332.5,0
Control4,39,522.5,0
Control4,40,261.25,0
Control4,41,463.75,0
Control4,42,807.5,0
Control4,43,570.0,0
Control4,44,332.5,0
Control4,45,582.5,0
Control4,46,546.25,0
Control4,47,380.0,0
Control4,48,926.25,0
Control4,49,926.25,0
Control4,50,712.5,0
Control4,51,622.0975,0
Control4,52,712.5,0
Control4,53,902.5,0
Control4,54,831.25,0
Control4,55,1218.4725,0
Control4,56,926.25,0
Control4,57,807.5,0
Control4,58,902.5,0
Control4,59,902.5,0
Control4,60,760.0,0
Control4,61,926.25,0
Control4,62,783.75,0
Control4,63,570.0,0
Control4,64,950.0,0
Control4,65,641.25,0
Control4,66,593.75,0
Control4,67,688.75,0
Control4,68,688.75,0
Control4,69,593.75,0
Control4,70,613.75,0
Control4,71,1068.75,0
Control4,72,807.5,0
Control4,73,1116.25,0
Control4,74,1425.0,0
Control4,75,902.5,0
Control4,76,986.25,0
Control4,77,1258.75,0
Control4,78,1463.0,0
Control4,79,1486.25,0
Control4,80,987.5,0
Control4,81,1153.75,0
Control4,82,1068.75,0
Control4,83,1286.25,0
Control4,84,1466.25,0
Control4,85,1093.75,0
Control4,86,1313.75,0
Control4,87,1201.25,0
Control4,88,1021.25,0
Control4,89,1691.0275,0
Control4,90,1258.75,0
Control4,91,1461.125,0
Control4,92,1035.0,0
Control4,93,1516.25,0
Control4,94,1143.75,0
Control4,95,1488.75,0
Control4,96,1286.25,0
Control4,97,1985.0,0
Control4,98,1425.0,0
Control4,99,1448.75,0
Control4,100,1713.75,0
Control4,101,1662.5,0
Control4,102,1876.25,0
Control4,103,1941.25,0
Control4,104,1660.0,0
Control4,105,2155.0,0
Control4,106,1700.0,0
Control4,107,1695.7,0
Control4,108,1866.25,0
Control4,109,1739.4025,0
Control4,110,1272.5,0
Control5,1,508.25,0
Control5,2,142.5,0
Control5,3,190.0,0
Control5,4,142.5,0
Control5,5,261.25,0
Control5,6,71.25,0
Control5,7,237.5,0
Control5,8,95.0,0
Control5,9,190.0,0
Control5,10,190.0,0
Control5,11,47.5,0
Control5,12,356.25,0
Control5,13,237.5,0
Control5,14,95.0,0
Control5,15,332.5,0
Control5,16,95.0,0
Control5,17,142.5,0
Control5,18,218.5,0
Control5,19,190.0,0
Control5,20,285.0,0
Control5,21,190.0,0
Control5,22,332.5,0
Control5,23,237.5,0
Control5,24,95.0,0
Control5,25,71.25,0
Control5,26,498.75,0
Control5,27,166.25,0
Control5,28,142.5,0
Control5,29,23.75,0
Control5,30,142.5,0
Control5,31,261.25,0
Control5,32,251.25,0
Control5,33,118.75,0
Control5,34,190.0,0
Control5,35,47.5,0
Control5,36,166.25,0
Control5,37,213.75,0
Control5,38,237.5,0
Control5,39,190.0,0
Control5,40,166.25,0
Control5,41,261.25,0
Control5,42,190.0,0
Control5,43,261.25,0
Control5,44,376.875,0
Control5,45,213.75,0
Control5,46,213.75,0
Control5,47,142.5,0
Control5,48,583.75,0
Control5,49,570.0,0
Control5,50,508.25,0
Control5,51,285.0,0
Control5,52,393.75,0
Control5,53,475.0,0
Control5,54,403.75,0
Control5,55,403.75,0
Control5,56,665.0,0
Control5,57,831.25,0
Control5,58,392.5,0
Control5,59,546.25,0
Control5,60,522.5,0
Control5,61,522.5,0
Control5,62,385.7,0
Control5,63,451.25,0
Control5,64,261.25,0
Control5,65,593.75,0
Control5,66,356.25,0
Control5,67,403.75,0
Control5,68,498.75,0
Control5,69,427.5,0
Control5,70,498.75,0
Control5,71,772.5,0
Control5,72,593.75,0
Control5,73,736.25,0
Control5,74,617.5,0
Control5,75,712.5,0
Control5,76,606.25,0
Control5,77,748.75,0
Control5,78,785.0,0
Control5,79,800.0,0
Control5,80,797.5,0
Control5,81,712.5,0
Control5,82,582.5,0
Control5,83,631.25,0
Control5,84,1048.75,0
Control5,85,522.5,0
Control5,86,617.5,0
Control5,87,712.5,0
Control5,88,451.25,0
Control5,89,876.25,0
Control5,90,856.375,0
Control5,91,665.0,0
Control5,92,392.5,0
Control5,93,451.25,0
Control5,94,525.0,0
Control5,95,475.0,0
Control5,96,617.5,0
Control5,97,1348.875,0
Control5,98,878.75,0
Control5,99,1165.0,0
Control5,100,997.5,0
Control5,101,1292.75,0
Control5,102,1215.0,0
Control5,103,1197.5,0
Control5,104,1035.0,0
Control5,105,1092.5,0
Control5,106,1181.25,0
Control5,107,855.0,0
Control5,108,1285.0,0
Control5,109,1381.25,0
Control5,110,845.0,0
Control6,1,237.5,0
Control6,2,237.5,0
Control6,3,235.125,0
Control6,4,213.75,0
Control6,5,71.25,0
Control6,6,166.25,0
Control6,7,47.5,0
Control6,8,118.75,0
Control6,9,118.75,0
Control6,10,71.25,0
Control6,11,95.0,0
Control6,12,118.75,0
Control6,13,47.5,0
Control6,14,47.5,0
Control6,15,71.25,0
Control6,16,71.25,0
Control6,17,95.0,0
Control6,18,71.25,0
Control6,19,237.5,0
Control6,20,47.5,0
Control6,21,237.5,0
Control6,22,23.75,0
Control6,23,190.0,0
Control6,24,308.75,0
Control6,25,213.75,0
Control6,26,237.5,0
Control6,27,166.25,0
Control6,28,142.5,0
Control6,29,308.75,0
Control6,30,368.75,0
Control6,31,322.5,0
Control6,32,71.25,0
Control6,33,71.25,0
Control6,34,166.25,0
Control6,35,166.25,0
Control6,36,166.25,0
Control6,37,166.25,0
Control6,38,166.25,0
Control6,39,142.5,0
Control6,40,237.5,0
Control6,41,368.75,0
Control6,42,213.75,0
Control6,43,237.5,0
Control6,44,118.75,0
Control6,45,285.0,0
Control6,46,356.25,0
Control6,47,213.75,0
Control6,48,476.25,0
Control6,49,665.0,0
Control6,50,356.25,0
Control6,51,570.0,0
Control6,52,237.5,0
Control6,53,546.25,0
Control6,54,451.25,0
Control6,55,475.0,0
Control6,56,665.0,0
Control6,57,380.0,0
Control6,58,617.5,0
Control6,59,546.25,0
Control6,60,465.0,0
Control6,61,546.25,0
Control6,62,427.5,0
Control6,63,451.25,0
Control6,64,617.5,0
Control6,65,487.5,0
Control6,66,332.5,0
Control6,67,403.75,0
Control6,68,522.5,0
Control6,69,546.25,0
Control6,70,593.75,0
Control6,71,926.25,0
Control6,72,688.75,0
Control6,73,807.5,0
Control6,74,783.75,0
Control6,75,902.5,0
Control6,76,783.75,0
Control6,77,962.5,0
Control6,78,950.0,0
Control6,79,607.5,0
Control6,80,906.25,0
Control6,81,699.45,0
Control6,82,855.0,0
Control6,83,1011.25,0
Control6,84,796.25,0
Control6,85,1013.75,0
Control6,86,740.0,0
Control6,87,906.25,0
Control6,88,427.5,0
Control6,89,641.25,0
Control6,90,570.0,0
Control6,91,606.25,0
Control6,92,451.25,0
Control6,93,688.75,0
Control6,94,665.0,0
Control6,95,950.0,0
Control6,96,571.375,0
Control6,97,928.75,0
Control6,98,1486.25,0
Control6,99,1116.25,0
Control6,100,1207.5,0
Control6,101,1167.5,0
Control6,102,1292.5,0
Control6,103,878.75,0
Control6,104,1106.25,0
Control6,105,1496.25,0
Control6,106,1258.75,0
Control6,107,1733.75,0
Control6,108,1306.25,0
Control6,109,1238.75,0
Control6,110,1110.0,0
Control7,1,261.25,0
Control7,2,308.75,0
Control7,3,522.5,0
Control7,4,332.5,0
Control7,5,190.0,0
Control7,6,95.0,0
Control7,7,95.0,0
Control7,8,71.25,0
Control7,9,118.75,0
Control7,10,71.25,0
Control7,11,190.0,0
Control7,12,308.75,0
Control7,13,213.75,0
Control7,14,142.5,0
Control7,15,142.5,0
Control7,16,285.0,0
Control7,17,356.25,0
Control7,18,142.5,0
Control7,19,190.0,0
Control7,20,118.75,0
Control7,21,308.75,0
Control7,22,261.25,0
Control7,23,308.75,0
Control7,24,237.5,0
Control7,25,380.0,0
Control7,26,380.0,0
Control7,27,237.5,0
Control7,28,142.5,0
Control7,29,356.25,0
Control7,30,190.0,0
Control7,31,203.75,0
Control7,32,356.25,0
Control7,33,285.0,0
Control7,34,322.5,0
Control7,35,546.25,0
Control7,36,285.0,0
Control7,37,308.75,0
Control7,38,465.0,0
Control7,39,356.25,0
Control7,40,332.5,0
Control7,41,250.0,0
Control7,42,701.25,0
Control7,43,498.75,0
Control7,44,427.5,0
Control7,45,546.25,0
Control7,46,308.75,0
Control7,47,398.2,0
Control7,48,1425.0,0
Control7,49,1425.0,0
Control7,50,855.0,0
Control7,51,1401.25,0
Control7,52,997.5,0
Control7,53,1425.0,0
Control7,54,1092.5,0
Control7,55,1264.45,0
Control7,56,1428.75,0
Control7,57,1140.0,0
Control7,58,1163.75,0
Control7,59,1187.5,0
Control7,60,1177.5,0
Control7,61,878.75,0
Control7,62,833.625,0
Control7,63,1285.0,0
Control7,64,2113.75,0
Control7,65,1567.5,0
Control7,66,1343.75,0
Control7,67,1236.25,0
Control7,68,1140.0,0
Control7,69,688.75,0
Control7,70,1068.75,0
Control7,71,1472.5,0
Control7,72,973.75,0
Control7,73,1568.75,0
Control7,74,1342.5,0
Control7,75,1468.75,0
Control7,76,2066.25,0
Control7,77,1163.75,0
Control7,78,1567.5,0
Control7,79,1607.5,0
Control7,80,1759.875,0
Control7,81,1855.0,0
Control7,82,1092.5,0
Control7,83,1492.5,0
Control7,84,1238.75,0
Control7,85,1856.25,0
Control7,86,1500.0,0
Control7,87,1777.5,0
Control7,88,971.25,0
Control7,89,1438.75,0
Control7,90,1615.0,0
Control7,91,1907.5,0
Control7,92,1021.25,0
Control7,93,1557.5,0
Control7,94,2057.5,0
Control7,95,2161.25,0
Control7,96,1465.0,0
Control7,97,1997.5,0
Control7,98,2127.5,0
Control7,99,2161.25,0
Control7,100,2080.0,0
Control7,101,2496.125,0
Control7,102,2080.0,0
Control7,103,2897.5,0
Control7,104,1927.5,0
Control7,105,2626.25,0
Control7,106,2602.5,0
Control7,107,1998.75,0
Control7,108,2711.25,0
