country,year,gdp,Reunification
Netherlands,1968,11622.79,0
Netherlands,1969,12227.65,0
Netherlands,1970,12818.65,0
Netherlands,1971,13213.96,0
Netherlands,1972,13543.28,0
Netherlands,1973,14162.95,0
Netherlands,1974,14535.61,0
Netherlands,1975,14406.91,0
Netherlands,1976,14931.26,0
Netherlands,1977,15216.84,0
Netherlands,1978,15531.27,0
Netherlands,1979,15735.1,0
Netherlands,1980,15820.56,0
Netherlands,1981,15589.27,0
Netherlands,1982,15325.41,0
Netherlands,1983,15583.43,0
Netherlands,1984,15996.92,0
Netherlands,1985,16333.33,0
Netherlands,1986,16695.62,0
Netherlands,1987,16910.42,0
Netherlands,1988,17379.69,0
Netherlands,1989,18039.35,0
Netherlands,1990,18665.0,0
Netherlands,1991,18970.18,0
Netherlands,1992,19148.51,0
Netherlands,1993,19254.64,0
Netherlands,1994,19705.61,0
Netherlands,1995,20219.53,0
Netherlands,1996,20814.89,0
Netherlands,1997,21587.8,0
Netherlands,1998,22452.27,0
Netherlands,1999,23428.18,0
Netherlands,2000,24242.89,0
Netherlands,2001,24619.65,0
Netherlands,2002,24523.13,0
Netherlands,2003,24431.58,0
New Zealand,1960,9712.98,0
New Zealand,1961,9836.38,0
New Zealand,1962,9884.92,0
New Zealand,1963,10281.81,0
New Zealand,1964,10683.17,0
New Zealand,1965,11150.64,0
New Zealand,1966,11637.08,0
New Zealand,1967,10906.55,0
New Zealand,1968,10806.01,0
New Zealand,1969,11801.58,0
New Zealand,1970,11479.73,0
New Zealand,1971,11737.64,0
New Zealand,1972,12122.23,0
New Zealand,1973,12814.5,0
New Zealand,1974,13302.23,0
New Zealand,1975,12820.03,0
New Zealand,1976,12825.13,0
New Zealand,1977,12281.99,0
New Zealand,1978,12317.16,0
New Zealand,1979,12636.52,0
New Zealand,1980,12782.77,0
New Zealand,1981,13326.52,0
New Zealand,1982,13317.45,0
New Zealand,1983,13596.33,0
New Zealand,1984,14125.22,0
New Zealand,1985,14264.98,0
New Zealand,1986,14654.55,0
New Zealand,1987,14669.84,0
New Zealand,1988,14577.89,0
New Zealand,1989,14531.49,0
New Zealand,1990,14420.0,0
New Zealand,1991,13588.16,0
New Zealand,1992,13594.43,0
New Zealand,1993,14299.34,0
New Zealand,1994,14832.88,0
New Zealand,1995,15307.5,0
New Zealand,1996,15611.34,0
New Zealand,1997,15728.18,0
New Zealand,1998,15723.06,0
New Zealand,1999,16481.77,0
New Zealand,2000,16855.47,0
