"munid","year","coalXpost","psoe","pp","podem","cs","vox","others"
"0244009",2008,0,50.0758725341426,35.5083459787557,0.910470409711684,0.455235204855842,0,13.0500758725341
"0244009",2011,0,43.0252100840336,44.2016806722689,6.21848739495798,2.6890756302521,0,3.8655462184874
"0244009",2015,0,28.0276816608997,31.3148788927336,18.8581314878893,15.5709342560554,0,6.22837370242215
"0244009",2016,0,29.1736930860034,36.5935919055649,18.043844856661,13.9966273187184,0,2.19224283305228
"0244009",2019,0,42.8805237315876,18.3306055646481,8.34697217675941,16.8576104746318,11.1292962356792,2.45499181669395
"0244010",2008,0,44.4444444444444,44.4444444444444,1.38888888888889,0,0,9.72222222222223
"0244010",2011,0,30.4347826086957,57.9710144927536,5.07246376811594,2.89855072463768,0,3.62318840579709
"0244010",2015,0,27.2727272727273,40.495867768595,11.5702479338843,17.3553719008264,0,3.30578512396694
"0244010",2016,0,30.46875,42.1875,17.1875,9.375,0,0.78125
"0244010",2019,0,32.1167883211679,26.2773722627737,10.2189781021898,17.5182481751825,13.1386861313869,0.729927007299267
"0244011",2008,0,59.5744680851064,40.4255319148936,0,0,0,0
"0244011",2011,0,42.5531914893617,42.5531914893617,8.51063829787234,4.25531914893617,0,2.12765957446808
"0244011",2015,0,37.1428571428571,42.8571428571429,0,8.57142857142857,0,11.4285714285714
"0244011",2016,0,21.0526315789474,42.1052631578947,13.1578947368421,15.7894736842105,0,7.89473684210526
"0244011",2019,1,31.25,21.875,3.125,21.875,15.625,6.25
"0244012",2008,0,36.5771812080537,45.9731543624161,2.01342281879195,0,0,15.4362416107383
"0244012",2011,0,33.1058020477816,56.3139931740614,4.09556313993174,4.43686006825939,0,2.04778156996588
"0244012",2015,0,21.0144927536232,48.5507246376812,10.1449275362319,15.2173913043478,0,5.07246376811594
"0244012",2016,0,19.5402298850575,53.639846743295,14.9425287356322,9.57854406130268,0,2.29885057471265
"0244012",2019,0,31.0924369747899,30.672268907563,6.30252100840336,16.3865546218487,11.3445378151261,4.20168067226891
"0244013",2008,0,45.9317585301837,33.4049152946791,4.21140539250775,0.703889286566452,0,15.748031496063
"0244013",2011,0,29.5226793248945,50.42194092827,8.29377637130802,5.48523206751055,0,6.27637130801688
"0244013",2015,0,22.4984765386959,32.7970749542962,18.3790371724558,18.6715417428397,0,7.65386959171236
"0244013",2016,0,23.4699170124481,37.8890041493776,19.2557053941909,16.2603734439834,0,3.125
