FIPS,State,year,month,civilian,total,percent,total_emp,perc_emp,total_unem,perc_unem
8,Colorado,2004,11,3510005,2553001,72.7,2414109,68.8,138892,5.4
9,Connecticut,2004,11,2669573,1772446,66.4,1685246,63.1,87200,4.9
10,Delaware,2004,11,637179,421408,66.1,402655,63.2,18753,4.5
11,District of Columbia,2004,11,464512,317617,68.4,291217,62.7,26400,8.3
12,Florida,2004,11,13688136,8440010,61.7,8143940,59.5,296070,3.5
13,Georgia,2004,11,6645274,4505826,67.8,4256148,64.0,249678,5.5
15,Hawaii,2004,11,946406,615625,65.0,596478,63.0,19147,3.1
16,Idaho,2004,11,1038176,712525,68.6,679697,65.5,32828,4.6
17,Illinois,2004,11,9578688,6371477,66.5,5986076,62.5,385401,6.0
18,Indiana,2004,11,4728736,3164300,66.9,2989333,63.2,174967,5.5
19,Iowa,2004,11,2267796,1609289,71.0,1535112,67.7,74177,4.6
20,Kansas,2004,11,2057633,1459668,70.9,1380894,67.1,78774,5.4
21,Kentucky,2004,11,3186350,1966299,61.7,1862347,58.4,103952,5.3
22,Louisiana,2004,11,3347153,2040782,61.0,1928071,57.6,112711,5.5
23,Maine,2004,11,1038776,686474,66.1,654333,63.0,32141,4.7
24,Maryland,2004,11,4225446,2893990,68.5,2759355,65.3,134635,4.7
25,Massachusetts,2004,11,5051159,3380049,66.9,3215202,63.7,164847,4.9
26,Michigan,2004,11,7719740,5070334,65.7,4706109,61.0,364225,7.2
27,Minnesota,2004,11,3906683,2886465,73.9,2760586,70.7,125879,4.4
28,Mississippi,2004,11,2141445,1314607,61.4,1227778,57.3,86829,6.6
