unit,time,age,asfr,treat
East Germany,1961,46,0.00051,0
East Germany,1961,47,0.00026,0
East Germany,1961,48,0.00013,0
East Germany,1961,49,7e-05,0
East Germany,1961,50,4e-05,0
East Germany,1961,51,2e-05,0
East Germany,1961,52,1e-05,0
East Germany,1961,53,1e-05,0
East Germany,1961,54,0.0,0
East Germany,1961,55,0.0,0
East Germany,1962,12,0.0,0
East Germany,1962,13,0.0,0
East Germany,1962,14,0.00012,0
East Germany,1962,15,0.00295,0
East Germany,1962,16,0.01286,0
East Germany,1962,17,0.0438,0
East Germany,1962,18,0.09068,0
East Germany,1962,19,0.13742,0
East Germany,1962,20,0.1705,0
East Germany,1962,21,0.18503,0
East Germany,1962,22,0.18753,0
East Germany,1962,23,0.18212,0
East Germany,1962,24,0.17377,0
East Germany,1962,25,0.16201,0
East Germany,1962,26,0.14512,0
East Germany,1962,27,0.13017,0
East Germany,1962,28,0.11794,0
East Germany,1962,29,0.10631,0
East Germany,1962,30,0.09446,0
East Germany,1962,31,0.08126,0
East Germany,1962,32,0.07109,0
East Germany,1962,33,0.06155,0
East Germany,1962,34,0.05284,0
East Germany,1962,35,0.04547,0
East Germany,1962,36,0.03873,0
East Germany,1962,37,0.03268,0
East Germany,1962,38,0.02749,0
East Germany,1962,39,0.02175,0
East Germany,1962,40,0.01604,0
East Germany,1962,41,0.01159,0
East Germany,1962,42,0.00826,0
East Germany,1962,43,0.00551,0
East Germany,1962,44,0.00255,0
East Germany,1962,45,0.00097,0
East Germany,1962,46,0.00049,0
East Germany,1962,47,0.00026,0
East Germany,1962,48,0.00014,0
East Germany,1962,49,7e-05,0
East Germany,1962,50,4e-05,0
East Germany,1962,51,2e-05,0
East Germany,1962,52,1e-05,0
East Germany,1962,53,1e-05,0
East Germany,1962,54,0.0,0
East Germany,1962,55,0.0,0
East Germany,1963,12,0.0,0
East Germany,1963,13,0.0,0
East Germany,1963,14,0.00012,0
East Germany,1963,15,0.00319,0
East Germany,1963,16,0.01314,0
East Germany,1963,17,0.04666,0
East Germany,1963,18,0.09823,0
