unit,time,y,treat
Malta,2011-06,1.70392987,0
Mexico,2011-06,4.80360483,0
Moldova,2011-06,6.54490107,0
Mongolia,2011-06,13.6,0
Montenegro,2011-06,2.2,0
Morocco,2011-06,14.51263538,0
Netherlands,2011-06,9.9009901,0
North Macedonia,2011-06,9.0915039,0
Norway,2011-06,14.41307578,0
Pakistan,2011-06,22.77022832,0
Paraguay,2011-06,15.22222222,0
Philippines,2011-06,2.44299674,0
Poland,2011-06,5.6,0
Portugal,2011-06,5.83438613,0
Romania,2011-06,7.15725806,0
Serbia,2011-06,15.83906291,0
Singapore,2011-06,4.47676389,0
Slovakia,2011-06,4.83870968,0
Slovenia,2011-06,4.41393396,0
South Korea,2011-06,7.16144478,0
Spain,2011-06,6.67251425,0
Sweden,2011-06,0.3257329,0
Switzerland,2011-06,-0.7983693,0
Thailand,2011-06,4.5320197,0
Tunisia,2011-06,3.74753452,0
Ukraine,2011-06,20.0,0
United Kingdom,2011-06,7.87234043,0
United States,2011-06,4.33070866,0
China,2011-07,7.5417,0
Armenia,2011-07,6.48172874,0
Belgium,2011-07,9.24702774,0
Bosnia and Herzegovina,2011-07,5.8,0
Bulgaria,2011-07,9.7843843,0
Canada,2011-07,8.20451843,0
Chile,2011-07,23.89577104,0
Colombia,2011-07,8.36929366,0
Croatia,2011-07,7.1,0
Cyprus,2011-07,5.53780618,0
Czech Republic,2011-07,5.29595016,0
Denmark,2011-07,9.5,0
Ecuador,2011-07,5.29434811,0
Egypt,2011-07,17.34939759,0
Estonia,2011-07,5.20375549,0
European Union,2011-07,5.08083141,0
Finland,2011-07,5.87649402,0
France,2011-07,4.778157,0
Georgia,2011-07,13.3017,0
Germany,2011-07,5.28789659,0
Ghana,2011-07,13.92643527,0
Greece,2011-07,9.0825299,0
Hungary,2011-07,-1.0,0
Iceland,2011-07,17.100412,0
India,2011-07,9.36170213,0
Ireland,2011-07,0.0,0
Israel,2011-07,7.4074074,0
Italy,2011-07,4.89749431,0
Japan,2011-07,2.16271885,0
Jordan,2011-07,18.9120295,0
Kazakhstan,2011-07,31.8,0
Kuwait,2011-07,1.80817996,0
Kyrgyzstan,2011-07,22.80486289,0
Latvia,2011-07,8.0,0
Lithuania,2011-07,15.2,0
Luxembourg,2011-07,5.53440703,0
Malaysia,2011-07,11.51515152,0
Malta,2011-07,2.16437263,0
Mexico,2011-07,4.97335702,0
Moldova,2011-07,7.93287567,0
Mongolia,2011-07,18.2,0
Montenegro,2011-07,3.6,0
Morocco,2011-07,14.37814522,0
Netherlands,2011-07,11.58841159,0
North Macedonia,2011-07,7.9210414,0
Norway,2011-07,16.02373887,0
Pakistan,2011-07,20.27412132,0
Paraguay,2011-07,13.12727273,0
