country,country_code,year,fdi,treated,log_gdp,log_gdp_percap,import_to_gdp,export_to_gdp,inflation_gdp_deflator,gross_capital_forma_gdp,unemployment,employment_15,log_population
"Korea, Rep.",KOR,2017,1.10364025144874,0,28.073735700239176,10.319328275641466,36.1867108656532,40.9342069409884,104.252965181111,32.2880634736146,3.653,61.163,17.754407424597705
"Korea, Rep.",KOR,2018,0.706084799750036,0,28.102395105656964,10.34365249078313,37.2755746703469,41.7132908430894,104.756453816308,31.487184177201,3.824,60.94,17.75874261487384
"Korea, Rep.",KOR,2019,0.58339386057331,0,28.124586816623694,10.36236545206408,36.4812778978581,39.2758610673609,103.877206387507,31.4949336660816,3.746,61.186,17.76222136455961
"Korea, Rep.",KOR,2020,0.533043337613518,0,28.1174673798761,10.353867322654018,32.6744545418102,36.359590549146,105.501582937275,31.8845852650415,3.931,60.342,17.76360005722208
"Korea, Rep.",KOR,2021,1.21315499855807,0,28.15961395102035,10.397301466953015,38.3222274220465,41.8772295047804,108.416519870982,32.3271937750171,3.639,60.784,17.762312484067333
"Korea, Rep.",KOR,2022,1.49617378306838,0,28.185405200784146,10.424967582383804,48.2646450676456,48.2717642210409,109.799397055981,33.1813562926262,2.857,62.374,17.760437618400346
Latvia,LVA,1995,4.21547032926806,0,23.236945273313246,8.511139520843031,39.304546530628,34.5625159970705,36.467866068484,15.6654645820241,19.0,48.523,14.725805752470219
Latvia,LVA,1996,5.54540920784118,0,23.26249620359835,8.547954202086363,49.423466080618,40.4153171422439,41.0023775433803,19.0274667597852,20.7,47.39,14.714542001511985
Latvia,LVA,1997,7.26653408164294,0,23.347176566404187,8.642602187779776,48.7398035279571,39.7008219446166,43.4163245220569,21.0553441225919,14.9,50.788,14.70457437862441
Latvia,LVA,1998,5.18260847879055,0,23.40860968750052,8.713464498247328,51.3171245898559,39.2364483083402,45.5106519950775,25.6500331274196,14.454,50.543,14.695145189253187
Latvia,LVA,1999,4.62051751162829,0,23.435798442781223,8.748792865566756,44.8366969399767,35.0283740541451,46.1896018772061,22.0855455891562,13.79,49.778,14.687005577214466
Latvia,LVA,2000,4.07326110975041,0,23.491003618237816,8.81363739509427,44.751379124087,36.7848682898279,47.8608466417364,24.4864009411093,14.211,48.197,14.677366223143542
Latvia,LVA,2001,2.07477210805633,0,23.5523198423371,8.887868488629044,48.3676477221757,38.0007434111274,48.9628429953727,27.8515753047765,13.821,48.769,14.664451353708055
Latvia,LVA,2002,1.67510905867537,0,23.62080178411952,8.967968812650904,46.6667697631497,36.5395744771967,51.4466051978032,27.8472800074705,13.829,49.961,14.65283297146862
Latvia,LVA,2003,2.68988145299238,0,23.701670570865176,9.058501607408932,48.564704648335,36.046475305097,54.0282510871078,29.786592752267,12.061,50.214,14.643168963456244
Latvia,LVA,2004,4.09810365195433,0,23.781259138305323,9.149003304404818,54.2233414315199,38.9123347496374,57.8438885991786,33.0804869149207,11.708,50.678,14.632255833900501
Latvia,LVA,2005,4.76289166404821,0,23.883096749424666,9.261646630093287,57.2659102287466,42.9698410514204,64.3218319416368,35.057530661061,10.033,51.607,14.621450119331383
Latvia,LVA,2006,7.90756297931773,0,23.996173936089807,9.383896546333304,60.3877423338715,39.7452403866307,72.3193213075686,39.8231416445334,7.03,54.945,14.612277389756501
Latvia,LVA,2007,8.73762476647532,0,24.090955991257445,9.48684035656677,57.3116939357737,38.2615915654077,86.8285088231734,41.5597038315464,6.052,56.614,14.604115634690672
Latvia,LVA,2008,4.00028668556069,0,24.057925225271738,9.464318986024809,51.9189507756246,39.25750458386,96.9546643556839,35.2712985032683,7.739,56.786,14.59360623924693
Latvia,LVA,2009,-0.568030990235418,0,23.904072867168807,9.326976877597788,44.198418232245,42.2140348572485,87.5949753883579,22.4366116056372,17.515,49.601,14.577095989571017
Latvia,LVA,2010,1.98271981067991,0,23.85849408475892,9.302211146086718,55.3464013118104,53.2583793215163,87.2790667769076,20.343924528886,19.482,47.41,14.556282938672206
Latvia,LVA,2011,5.53067572457445,0,23.883905583896563,9.345830315245152,65.7105552362294,59.7798909523655,92.9726650907349,25.7640063874227,16.206,49.034,14.538075268651406
Latvia,LVA,2012,3.83664423775721,0,23.951958987720353,9.426287310601873,66.7846886045742,61.4437531058355,96.3512913459492,27.5213180897769,15.047,50.741,14.52567167711848
Latvia,LVA,2013,3.27525565812789,0,23.971839718620938,9.456878389535365,64.7626819804466,60.3951732405058,98.007010714248,24.3498024749209,11.867,52.376,14.51496132908557
Latvia,LVA,2014,3.32975610261153,0,23.990682794359493,9.48513889881626,64.1245448514298,61.1547282077451,99.8844212649991,23.8626989255222,10.846,52.839,14.505543895543228
Latvia,LVA,2015,2.98148083437119,0,24.028799629754882,9.531441997621114,62.0239819704652,60.2753827650078,100.0,23.8050952530522,9.873,54.141,14.49735763213377
Latvia,LVA,2016,1.19436613264231,0,24.05220961277771,9.563990833966205,59.3035507331033,59.6070823895513,100.863392494557,21.1648040125931,9.643,54.596,14.488218778811504
Latvia,LVA,2017,3.90367286315916,0,24.08479756944524,9.605440946366661,62.262872078876,61.589439363058,103.836721453537,22.0128731257759,8.715,55.526,14.47935662307858
Latvia,LVA,2018,1.23236160129672,0,24.123927117295903,9.652361878179248,62.1639569457667,61.4589417496788,107.878639012202,23.2057523274348,7.412,56.887,14.471565239116659
Latvia,LVA,2019,3.25660840923509,0,24.129784950475795,9.665172102760494,60.7221095278955,60.0210271401091,112.469844392689,22.8236512575905,6.312,57.366,14.464612847715298
Latvia,LVA,2020,2.76262678329592,0,24.094014727970304,9.636413995962343,59.4459974077252,60.7512914046754,114.79889417446,21.4023551799099,8.098,56.675,14.457600732007965
Latvia,LVA,2021,9.38107588608647,0,24.15916308135595,9.709995296128032,67.7427900839523,64.5912408829164,119.13052862391,25.0102372093955,7.513,55.66,14.449167785227914
Latvia,LVA,2022,2.87386804251436,0,24.188282289625523,9.741828200175368,77.4803420824267,72.8935254757134,133.189442756559,25.0368941306934,6.815,56.939,14.446454089450157
Lithuania,LTU,1995,0.922285561892422,0,23.60881045380296,8.504314661086237,47.7944020655246,37.1618158329912,48.0695700991724,22.7947950594606,17.54,52.232,15.10449579271672
Lithuania,LTU,1996,1.81806910799124,0,23.65910866427466,8.562216305639685,51.2497439798318,41.9533878019995,57.198235345776,21.1123421131732,16.4,52.34,15.096892358634976
Lithuania,LTU,1997,3.58040005126921,0,23.73894447265561,8.649430417601298,55.0515656516756,44.9740433621513,63.7466834954856,24.6218725034517,14.13,53.087,15.08951405505431
Lithuania,LTU,1998,8.17448375380232,0,23.811039608567445,8.72876991557914,50.5306959149731,39.1275918868389,65.883113451685,24.3796183032107,13.711,52.637,15.082269692988309
Lithuania,LTU,1999,5.14545122055799,0,23.799558237592088,8.724383436944496,42.4033364331132,32.4181587307582,65.0550337400648,21.3965688426492,13.388,52.957,15.075174800647591
Lithuania,LTU,2000,3.2996083516447,0,23.835847016642155,8.767706070399454,44.7846579106665,38.593931417507,65.8997982994768,18.8326305135006,15.931,50.455,15.068140946242702
Lithuania,LTU,2001,3.61515055285972,0,23.89906693977218,8.839166080759922,49.568675039751,44.0970221232765,65.68772576224,19.0892948261178,16.84,48.7,15.059900859012261
Lithuania,LTU,2002,4.63394557429123,0,23.964399657101737,8.91252645519696,53.0868363338602,47.403784740333,65.8970440407716,20.8090110192803,13.008,50.291,15.051873201904776
Lithuania,LTU,2003,1.15750220940481,0,24.064841709825895,9.021091288895187,52.0139224057471,46.2209840771133,65.3609752095379,21.9689061787162,12.875,52.061,15.043750420930708
Lithuania,LTU,2004,3.88704212188136,0,24.128468785575187,9.0959482773928,55.8326608458145,48.7713580307085,67.1138240191995,22.8879569656287,10.684,50.688,15.032520508182385
Lithuania,LTU,2005,4.95274255731953,0,24.2029486734503,9.186712176527259,62.3538990109735,55.129678025987,71.734683682734,24.2662520734704,8.325,51.216,15.01623649692304
Lithuania,LTU,2006,7.48546796463773,0,24.274470144464132,9.2741974307241,67.297988454054,57.0374548746781,76.5664343853841,26.9471316835605,5.78,51.64,15.000272713740031
Lithuania,LTU,2007,6.55321194511853,0,24.379797980857447,9.391404746690005,64.7461762982107,51.6412116291977,83.1163755700724,32.3099074189196,4.25,52.746,14.988393234167441
Lithuania,LTU,2008,3.61376702103575,0,24.405606293099403,9.427497890686618,69.2277606166576,57.6213269862551,91.1862347150644,28.1239625136103,5.826,52.184,14.978108402412788
Lithuania,LTU,2009,-0.963401425538232,0,24.244984288318264,9.277979343449202,53.5494775163712,51.7893007830051,88.1807010625741,12.6569992989928,13.785,48.362,14.967004944869064
Lithuania,LTU,2010,2.96992979569042,0,24.26136184747794,9.31532633680742,65.9450243568191,63.9423585065945,90.4147447156695,18.1257054645364,17.814,46.259,14.946035510670518
Lithuania,LTU,2011,4.32022249925765,0,24.319998689419208,9.396547817736975,75.5662102013822,72.8810089085961,95.2518904282781,21.9624648052468,15.39,48.416,14.923450871682235
Lithuania,LTU,2012,1.57750505089112,0,24.357716974001935,9.447678122201857,77.6165324305661,78.2266282268662,97.8563185701156,19.7601669887094,13.365,49.909,14.910038851800074
Lithuania,LTU,2013,1.65219575592806,0,24.392602079309604,9.492683301191343,77.2182175559891,78.668573312647,99.1101831163818,19.5257637649991,11.77,51.045,14.899918778118264
Lithuania,LTU,2014,0.736237941196901,0,24.427361025481375,9.536040520793817,70.4512175629791,72.2704251906117,99.9363577377023,19.622590890742,10.698,52.504,14.891320504687561
Lithuania,LTU,2015,2.50257212107381,0,24.44740464290075,9.56549167617965,69.7746765905942,68.7776407338805,100.0,21.2697617808616,9.12,53.653,14.8819129667211
Lithuania,LTU,2016,2.7354410644298,0,24.472280929091085,9.603074907699868,66.8664753811675,67.5873830562834,101.576252772135,19.2082502118418,7.862,55.515,14.869206021391214
Lithuania,LTU,2017,2.89733605891245,0,24.51421523549464,9.658992436112635,71.2781916542974,73.5951637391515,105.886571773001,19.1811193870646,7.073,56.334,14.855222799382004
Lithuania,LTU,2018,2.41824675908941,0,24.55337162280938,9.707690728019475,73.3893752389585,75.2054048902229,109.621375693626,20.3563484448039,6.147,57.729,14.845680894789904
Lithuania,LTU,2019,6.26599401037917,0,24.598972691799244,9.755938840558787,71.9320960572036,77.2441152993638,112.659601251344,17.7839591202137,6.255,58.023,14.843033851240456
Lithuania,LTU,2020,7.90967887457538,0,24.598726536552608,9.755425017729355,63.8145293826509,73.0980776598689,114.791081205899,14.5801333831343,8.487,57.007,14.843301518823251
Lithuania,LTU,2021,4.44860230039192,0,24.659677787736186,9.814248214617566,75.5706100418699,80.0660156686909,122.306769562273,20.3699603458735,7.112,57.404,14.84542957311862
Lithuania,LTU,2022,1.04930101685529,0,24.683786575934157,9.827420322015035,88.8065174521046,86.7990151985414,142.559219919184,26.9136417844232,5.956,58.416,14.85636625391912
Mexico,MEX,1995,2.50587999844817,0,27.3083775555081,8.99339547326738,20.7999048051439,22.8659269211958,17.8779237186309,19.311543363515,7.095,55.221,18.314982082240718
Mexico,MEX,1996,2.12551917782763,0,27.36870375311757,9.035908713722353,23.0446915817651,24.7231319521416,22.6507526092554,19.7376269610509,5.465,56.253,18.332795039395215
Mexico,MEX,1997,2.4510099356897,0,27.43821933206241,9.088142463710414,23.2363034246464,23.2555721469271,26.6675671209169,21.1460171251619,4.235,58.253,18.350076868351998
Mexico,MEX,1998,2.28836855124077,0,27.49823274530144,9.131297943124023,24.8101347448538,23.221749395164,30.8586567549413,22.8039516150861,3.733,58.276,18.366934802177415
Mexico,MEX,1999,2.20848433629662,0,27.52541036908747,9.142070083076634,24.5953903270731,23.4168592490374,35.5859194822988,22.2434377526015,2.598,58.214,18.383340286010835
Mexico,MEX,2000,2.47719212505446,0,27.574479389551755,9.1752935956663,25.6792357227792,24.2311734715837,39.392888526547,22.2649246118729,2.646,58.066,18.399185793885454
Mexico,MEX,2001,3.77607805645799,0,27.56996074329733,9.155355538110424,23.1988988041623,21.5412102021393,41.9427938166538,20.2738215571294,2.627,57.469,18.414605205186906
Mexico,MEX,2002,2.48685750021276,0,27.567592060161875,9.137782302743165,23.3580673330305,21.851761920846,44.2506222745227,20.4084256246843,3.003,56.787,18.42980975741871
Mexico,MEX,2003,2.37188032095091,0,27.579377783543265,9.134694020813258,25.0448233717828,23.6555935090553,46.144401651712,20.8808458699197,3.455,56.87,18.44468376273001
