idunico,Year,policial,presence_strength,co_num,war
11013,2000,0,0,0,0
11013,2001,0,0,0,0
11013,2002,0,0,0,0
11013,2003,0,0,0,0
11013,2004,0,0,0,0
11013,2005,0,0,0,0
11013,2006,0,0,0,0
11013,2007,0,0,0,0
11013,2008,0,0,0,0
11013,2009,0,0,0,0
11013,2010,0,0,0,0
11013,2011,0,0,0,0
11013,2012,0,0,0,0
11013,2013,0,0,0,0
11013,2014,0,0,0,0
11013,2015,0,1,1,0
11013,2016,0,1,1,0
11013,2017,0,1,1,0
11013,2018,0,1,1,0
11013,2019,0,1,2,1
11013,2020,0,0,0,0
11013,2021,0,0,0,0
11014,2000,0,0,0,0
11014,2001,0,0,0,0
11014,2002,0,0,0,0
11014,2003,0,0,0,0
11014,2004,0,0,0,0
11014,2005,0,0,0,0
11014,2006,0,0,0,0
11014,2007,0,0,0,0
11014,2008,0,2,1,0
11014,2009,0,2,1,0
11014,2010,0,2,2,1
11014,2011,0,2,2,1
11014,2012,0,2,3,1
11014,2013,0,2,3,1
11014,2014,0,2,2,1
11014,2015,0,1,1,0
11014,2016,0,0,0,0
11014,2017,0,2,1,0
11014,2018,0,2,1,0
11014,2019,0,2,2,1
11014,2020,0,2,2,1
11014,2021,0,2,2,1
11015,2000,0,0,0,0
11015,2001,0,0,0,0
11015,2002,0,0,0,0
11015,2003,0,0,0,0
11015,2004,0,0,0,0
11015,2005,0,0,0,0
11015,2006,0,0,0,0
11015,2007,0,0,0,0
11015,2008,0,2,1,0
11015,2009,0,2,1,0
11015,2010,0,2,2,1
11015,2011,0,2,1,0
11015,2012,0,2,2,1
11015,2013,0,2,2,1
11015,2014,0,2,2,1
11015,2015,0,0,0,0
11015,2016,0,0,0,0
11015,2017,0,2,1,0
11015,2018,0,2,1,0
11015,2019,0,2,2,1
11015,2020,0,2,2,1
11015,2021,0,2,1,0
11017,2000,0,0,0,0
11017,2001,0,0,0,0
11017,2002,0,0,0,0
11017,2003,0,0,0,0
11017,2004,0,0,0,0
11017,2005,0,0,0,0
11017,2006,0,0,0,0
11017,2007,0,0,0,0
11017,2008,0,2,2,1
11017,2009,0,2,3,1
11017,2010,0,2,3,1
11017,2011,0,2,4,1
11017,2012,0,2,4,1
11017,2013,0,2,4,1
11017,2014,0,2,5,1
11017,2015,0,2,5,1
11017,2016,0,2,4,1
11017,2017,0,3,4,1
11017,2018,0,3,4,1
11017,2019,0,3,5,1
11017,2020,0,3,4,1
11017,2021,0,3,3,1
11018,2000,0,0,0,0
11018,2001,0,0,0,0
11018,2002,0,0,0,0
11018,2003,0,0,0,0
