outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
theft_nonviolent_rate,1.27272727272727,33,42,90,50,-2.48460583717917,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,51,-2.84981104615943,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,52,-1.9658083892978,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,53,-1.23465075293484,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,54,-3.5323659384141,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,55,-2.00951512101607,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,56,-1.12750908581203,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,57,-1.74718153026131,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,58,-3.07372572610242,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,59,-2.9663497804346,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,60,-1.98323826545033,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,61,-1.97707452287511,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,62,-3.5248650774576,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,63,-5.25609732351096,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,64,-3.15430886924269,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,65,-3.15003571133353,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,66,-5.35272077690916,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,67,-3.41321652827776,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,68,-3.71692737875032,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,69,-2.31579073757647,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,70,-0.350601856262061,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,71,-0.360042939159231,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,72,-2.63214850800031,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,73,-1.75375640459159,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,74,-1.79388492406479,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,75,0.0930715206071481,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,76,-0.904384159527488,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,77,-2.27299533638607,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,78,-2.04497014548701,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,79,-1.50825732783465,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,80,-2.6721088969371,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,81,-2.66993986908868,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,82,-2.09141895665013,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,83,-2.76952786699536,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,84,-2.91163585293116,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,85,-2.98543783584608,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,86,-4.09010753905132,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,87,-4.73702833284303,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,88,-4.76630972237206,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,89,-5.0494372409981,NaN,NaN
theft_nonviolent_rate,1.27272727272727,33,42,90,90,-3.52869098343546,NaN,NaN
presence_strength,0.454545454545455,33,15,7,1,-0.198484078711368,-0.389369607672076,-0.149809713647351
presence_strength,0.454545454545455,33,15,7,2,-0.131130658898367,-0.324734138759557,-0.100521390238946
presence_strength,0.454545454545455,33,15,7,3,-0.53515654109986,-0.72876002096105,-0.504547272440439
presence_strength,0.454545454545455,33,15,7,4,-0.607569790320001,-0.801173270181191,-0.57696052166058
presence_strength,0.454545454545455,33,15,7,5,-0.233085659587972,-0.426689139449162,-0.202476390928551
presence_strength,0.454545454545455,33,15,7,6,-0.00700621993206348,-0.200609699793254,0.0618881687033849
presence_strength,0.454545454545455,33,15,7,7,0.19611371244251,0.134305127182391,0.297628423593076
co_num,0.454545454545455,33,15,7,1,-0.284577045558464,-0.324420575459804,-0.220219050850858
co_num,0.454545454545455,33,15,7,2,-0.713559504580698,-0.75700578940468,-0.64378291623252
co_num,0.454545454545455,33,15,7,3,-0.821676597000147,-0.865122881824129,-0.751900008651969
co_num,0.454545454545455,33,15,7,4,-1.07600018521218,-1.11944647003616,-1.006223596864
co_num,0.454545454545455,33,15,7,5,-0.445108033880701,-0.488554318704683,-0.375331445532523
co_num,0.454545454545455,33,15,7,6,-0.148817897685063,-0.192264182509046,-0.00204134776348994
co_num,0.454545454545455,33,15,7,7,0.0157139436830907,-0.083050929661924,0.218856907749868
war,0.454545454545455,33,15,7,1,-0.401530301114755,-0.446915204991774,-0.396773524905015
war,0.454545454545455,33,15,7,2,-0.354493276227598,-0.398955714288181,-0.348813850641416
war,0.454545454545455,33,15,7,3,-0.256948558819655,-0.301410996880238,-0.251269133233473
war,0.454545454545455,33,15,7,4,-0.314859717582048,-0.359322155642631,-0.284851760813741
war,0.454545454545455,33,15,7,5,-0.312399306616683,-0.356861744677266,-0.282391349848376
war,0.454545454545455,33,15,7,6,-0.306481553240391,-0.350943991300974,-0.26830310212018
war,0.454545454545455,33,15,7,7,-0.228506470859085,-0.233807251594408,-0.211243043816927
