outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
hom_all_rate,5.27272727272727,33,174,78,26,-0.447072818976498,-1.23980093506161,0.299490253039398
hom_all_rate,5.27272727272727,33,174,78,27,-2.7926827011149,-3.58541081720002,-2.04611962909901
hom_all_rate,5.27272727272727,33,174,78,28,2.24489311150523,1.45216499542012,2.99145618352113
hom_all_rate,5.27272727272727,33,174,78,29,-3.49138160464427,-4.28410972072938,-2.74481853262837
hom_all_rate,5.27272727272727,33,174,78,30,1.16034591709863,0.367617801013513,1.90690898911452
hom_all_rate,5.27272727272727,33,174,78,31,1.52117552360258,0.728447407517464,2.26773859561847
hom_all_rate,5.27272727272727,33,174,78,32,1.00667920170727,0.213951085622158,1.75324227372317
hom_all_rate,5.27272727272727,33,174,78,33,0.729158499777132,-0.0635696163079805,1.47572157179303
hom_all_rate,5.27272727272727,33,174,78,34,1.27238528406348,0.479657167978369,2.01894835607938
hom_all_rate,5.27272727272727,33,174,78,35,1.54534389832269,0.752615782237577,2.29190697033859
hom_all_rate,5.27272727272727,33,174,78,36,0.151946340762673,-0.64078177532244,0.898509412778569
hom_all_rate,5.27272727272727,33,174,78,37,0.496911096600897,-0.295817019484216,1.24347416861679
hom_all_rate,5.27272727272727,33,174,78,38,3.50802589013874,2.71529777405363,4.25458896215464
hom_all_rate,5.27272727272727,33,174,78,39,-0.456590103494312,-1.24931821957942,0.289972968521584
hom_all_rate,5.27272727272727,33,174,78,40,2.25775423323399,1.46502611714887,3.00431730524988
hom_all_rate,5.27272727272727,33,174,78,41,-0.478294786047679,-1.27102290213279,0.268268285968217
hom_all_rate,5.27272727272727,33,174,78,42,-0.327323908680963,-1.12005202476608,0.419239163334933
hom_all_rate,5.27272727272727,33,174,78,43,0.721954615355451,-0.0707735007296619,1.46851768737135
hom_all_rate,5.27272727272727,33,174,78,44,0.346958884000825,-0.51152181734413,1.09352195601672
hom_all_rate,5.27272727272727,33,174,78,45,0.87381216052294,0.0153314591779846,1.62037523253884
hom_all_rate,5.27272727272727,33,174,78,46,4.89670678406685,4.0382260827219,5.64326985608275
hom_all_rate,5.27272727272727,33,174,78,47,-2.93757489618303,-3.84586866039358,-2.19101182416713
hom_all_rate,5.27272727272727,33,174,78,48,-1.66695321461734,-2.57524697882789,-0.920390142601443
hom_all_rate,5.27272727272727,33,174,78,49,0.364545610913488,-0.543748153297065,1.11110868292938
hom_all_rate,5.27272727272727,33,174,78,50,0.0875106281722806,-0.820783136038272,0.834073700188177
hom_all_rate,5.27272727272727,33,174,78,51,0.195731551263977,-0.712562212946577,0.942294623279873
hom_all_rate,5.27272727272727,33,174,78,52,2.91576725904516,2.0074734948346,3.66233033106105
hom_all_rate,5.27272727272727,33,174,78,53,0.372638808766329,-0.535654955444224,1.11920188078223
hom_all_rate,5.27272727272727,33,174,78,54,0.808885303757688,-0.0994084604528651,1.55544837577358
hom_all_rate,5.27272727272727,33,174,78,55,0.247560628918293,-0.66073313529226,0.994123700934189
