"Year","NOM_MUN","idunico","co_num","presence_strength","n.cell","n.weak","n.strong","war","peace","idunico_num","new_cartel_presence","intentional_hom","hom_ym","hom_all","MU_Type","policial","estatal","unico","population","population_male","population_female","population_over17","born_in_state","illiterate_over15","inschool_15to17","inschool_18to24","noschooling_over15","primaryincomplete_over15","yearsofschooling_average","single_over11","indigenousspeaker_over2","economicallyactive","economicallyinactive","employed","housing","homes","homes_malehead","homes_femalehead","ncand","elec_comp","elec_comp_perc","party.mayor","party.governor","party.pres","political_vulnerability","state_political_vulnerability","federal_political_vulnerability","mun_election_year","TT_PERSO","police_any_hom_worked","police_mun_hom_worked","police_state_hom_worked","police_fed_hom_worked","police_any_hom_killed","police_mun_hom_killed","police_state_hom_killed","police_fed_hom_killed","mu","log_pop","log_econin","state_federal_political_vulnerability"
2016,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",0,0,0,0,0,0,0,11014,0,18,12,27,0,0,0,0,148173,69891,78282,84935,139300,279,5574,3361,11287,14484,16203,6.6,50932,54446,48093,42740,31513,23510,8003,38706,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,184,0,0,0,0,0,0,0,0,0,11.9061357890114,10.7808919153578,0
2017,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",1,2,0,1,0,0,0,11014,1,10,13,40,0,0,0,0,148173,69891,78282,84935,139300,279,5574,3361,11287,14484,16203,6.6,50932,54446,48093,42740,31513,23510,8003,38706,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,184,0,0,0,0,0,0,0,0,0,11.9061357890114,10.7808919153578,0
2018,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",1,2,0,1,0,0,0,11014,0,NA,NA,NA,0,0,0,0,148173,69891,78282,84935,139300,279,5574,3361,11287,14484,16203,6.6,50932,54446,48093,42740,31513,23510,8003,38706,9,4833,0.0888239510393119,"pan","pan-panal","pri-pvem",0,0,1,1,235,1,1,0,0,1,1,0,0,0,11.9061357890114,10.7808919153578,0
2019,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",2,2,0,2,0,1,0,11014,1,NA,NA,NA,0,0,0,0,148173,69891,78282,84935,139300,279,5574,3361,11287,14484,16203,6.6,50932,54446,48093,42740,31513,23510,8003,38706,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,235,0,0,0,0,0,0,0,0,0,11.9061357890114,10.7808919153578,1
2020,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",2,2,0,2,0,1,0,11014,0,NA,NA,NA,0,0,0,0,163038,86327,76711,102896,153106,915,5527,5046,9072,11145,11912,8.07,76217,45342,75382,44734,38964,13889,25075,50340,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,236,0,0,0,0,0,0,0,0,0,12.001738581453,11.2303237987058,1
2021,"Dolores Hidalgo Cuna de la Independencia Nacional","11014",2,2,0,2,0,1,0,11014,0,NA,NA,NA,0,0,0,0,163038,86327,76711,102896,153106,915,5527,5046,9072,11145,11912,8.07,76217,45342,75382,44734,38964,13889,25075,50340,11,3580,0.068312788611991,"pri","pan-prd-mc","morena-pt-pes",1,1,1,1,236,NA,NA,NA,NA,NA,NA,NA,NA,0,12.001738581453,11.2303237987058,1
2000,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,4,6,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,3,3178,0.0611577245785544,"pri","pan","pri",0,1,0,1,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,0
2001,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,0,2,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"prd","pan","pan-pvem",1,1,1,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2002,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,1,7,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"prd","pan","pan-pvem",1,1,1,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2003,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,1,8,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,9,7082,0.182775440679278,"prd","pan","pan-pvem",1,1,1,1,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2004,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,3,8,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"pri","pan","pan-pvem",1,1,1,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2005,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,1,5,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"pri","pan","pan-pvem",1,1,1,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2006,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,5,8,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,4,8617,0.147791784581082,"pri","pan","pan-pvem",1,1,1,1,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,1
2007,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,NA,2,4,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,0
2008,"Guanajuato","11015",1,2,0,1,0,0,0,11015,1,NA,0,1,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,0
2009,"Guanajuato","11015",1,2,0,1,0,0,0,11015,0,NA,0,3,0,0,0,0,141196,68357,72839,81881,130492,6741,5377,6672,8171,14603,8,40617,292,48647,51557,48121,28909,31118,24369,6749,6,4846,0.0935358721457661,"pan-pna","pan-panal","pan",0,0,0,1,442,0,0,0,0,0,0,0,0,0,11.8579042750281,10.8504432707211,0
2010,"Guanajuato","11015",2,2,0,2,0,1,0,11015,1,NA,4,11,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri-prd","pan-panal","pan",1,1,1,0,442,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,1
2011,"Guanajuato","11015",1,2,0,1,0,0,0,11015,1,7,3,9,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri-prd","pan-panal","pan",1,1,1,0,442,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,1
2012,"Guanajuato","11015",2,2,0,2,0,1,0,11015,1,22,4,13,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,6,654,0.010273488430544,"pri-prd","pan-panal","pan",1,1,1,1,412,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,1
2013,"Guanajuato","11015",2,2,0,2,0,1,0,11015,0,10,3,8,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri","pan-panal","pri-pvem",0,1,0,0,412,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2014,"Guanajuato","11015",2,2,0,2,0,1,0,11015,0,15,1,12,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri","pan-panal","pri-pvem",0,1,0,0,405,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2015,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,15,8,13,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,6,8447,0.170605105832929,"pri","pan-panal","pri-pvem",0,1,0,1,405,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2016,"Guanajuato","11015",0,0,0,0,0,0,0,11015,0,15,4,16,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri-pvem-pna","pan-panal","pri-pvem",0,1,0,0,355,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2017,"Guanajuato","11015",1,2,0,1,0,0,0,11015,1,5,4,12,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pri-pvem-pna","pan-panal","pri-pvem",0,1,0,0,355,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2018,"Guanajuato","11015",1,2,0,1,0,0,0,11015,0,NA,NA,NA,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,7,9592,0.14293590832551,"pri-pvem-pna","pan-panal","pri-pvem",0,1,0,1,363,0,0,0,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2019,"Guanajuato","11015",2,2,0,2,0,1,0,11015,1,NA,NA,NA,0,0,0,0,171709,82830,88879,108887,157168,317,7246,7768,6198,7703,12502,9.13,67755,61246,64007,48577,40162,29566,10596,49679,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,363,1,0,1,0,0,0,0,0,0,12.0535564625182,11.0667477313608,0
2020,"Guanajuato","11015",2,2,0,2,0,1,0,11015,0,NA,NA,NA,0,0,0,0,194500,100462,94038,136247,181193,281,7073,10405,4821,6100,8595,10.46,95753,59323,93436,57471,51675,18768,32907,63114,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,481,1,1,0,0,1,1,0,0,0,12.1781874420406,11.4450319889266,0
2021,"Guanajuato","11015",1,2,0,1,0,0,0,11015,1,NA,NA,NA,0,0,0,0,194500,100462,94038,136247,181193,281,7073,10405,4821,6100,8595,10.46,95753,59323,93436,57471,51675,18768,32907,63114,10,19828,0.332556228301159,"pan","pan-prd-mc","morena-pt-pes",0,0,1,1,481,NA,NA,NA,NA,NA,NA,NA,NA,0,12.1781874420406,11.4450319889266,0
2000,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,13,20,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,8,55171,0.323763974061794,"pan","pan","pri",0,0,1,1,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2001,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,5,16,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2002,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,5,18,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2003,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,8,23,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,7,34123,0.256494482696413,"pan","pan","pan-pvem",0,0,0,1,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2004,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,2,12,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2005,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,6,23,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2006,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,9,20,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,5,58866,0.343253991393285,"pan","pan","pan-pvem",0,0,0,1,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2007,"Irapuato","11017",0,0,0,0,0,0,0,11017,0,NA,9,25,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2008,"Irapuato","11017",2,2,0,2,0,1,0,11017,1,NA,9,23,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,744,1,1,0,0,1,1,0,0,0,12.9948345049844,11.9625159055651,0
2009,"Irapuato","11017",3,2,1,2,0,1,0,11017,1,NA,15,35,0,0,0,0,440134,210596,229538,248512,388998,25946,13168,10050,31901,47043,7,113742,1031,149203,156767,147455,88567,94827,76812,18015,6,3962,0.02738230171675,"pan-pna","pan-panal","pan",0,0,0,1,744,0,0,0,0,0,0,0,0,0,12.9948345049844,11.9625159055651,0
2010,"Irapuato","11017",3,2,1,2,0,1,0,11017,0,NA,16,38,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,744,0,0,0,0,0,0,0,0,0,13.1795751231554,12.185992379696,0
2011,"Irapuato","11017",4,2,2,2,0,1,0,11017,1,47,13,43,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,744,0,0,0,0,0,0,0,0,0,13.1795751231554,12.185992379696,0
2012,"Irapuato","11017",4,2,2,2,0,1,0,11017,0,64,22,70,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,6,7641,0.0392778751599953,"pan","pan-panal","pan",0,0,0,1,930,0,0,0,0,0,0,0,0,0,13.1795751231554,12.185992379696,0
2013,"Irapuato","11017",4,2,2,2,0,1,0,11017,0,51,26,44,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,930,0,0,0,0,0,0,0,0,0,13.1795751231554,12.185992379696,0
2014,"Irapuato","11017",5,2,1,4,0,1,1,11017,1,58,24,59,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan-pna","pan-panal","pri-pvem",0,0,1,0,718,2,2,0,0,2,2,0,0,0,13.1795751231554,12.185992379696,0
2015,"Irapuato","11017",5,2,3,2,0,1,1,11017,1,92,37,96,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,6,5070,0.0348367414248021,"pan-pna","pan-panal","pri-pvem",0,0,1,1,718,1,0,1,0,1,0,1,0,0,13.1795751231554,12.185992379696,0
2016,"Irapuato","11017",4,2,2,2,0,1,1,11017,1,80,31,92,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,647,1,1,0,0,1,1,0,0,0,13.1795751231554,12.185992379696,0
2017,"Irapuato","11017",4,3,2,1,1,1,0,11017,1,71,66,173,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,647,3,3,0,0,2,2,0,0,0,13.1795751231554,12.185992379696,0
2018,"Irapuato","11017",4,3,2,0,2,1,0,11017,1,NA,NA,NA,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,8,21947,0.109218940506109,"pan","pan-panal","pri-pvem",0,0,1,1,755,10,8,2,0,9,7,2,0,0,13.1795751231554,12.185992379696,0
2019,"Irapuato","11017",5,3,3,1,1,1,1,11017,1,NA,NA,NA,0,0,0,0,529440,254784,274656,331155,469224,1019,20643,16299,22626,27276,39984,8.46,207107,188822,196024,139895,121028,92829,28199,146061,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,755,14,11,1,2,16,13,1,2,0,13.1795751231554,12.185992379696,0
2020,"Irapuato","11017",4,3,2,1,1,1,1,11017,1,NA,NA,NA,0,0,0,0,592953,302183,290770,409113,534519,742,20917,22005,17330,21814,26985,9.66,285598,177369,280623,160359,151888,47141,104747,179354,NA,NA,NA,"pan","pan-prd-mc","morena-pt-pes",0,0,1,0,1280,3,2,1,0,4,1,3,0,0,13.2928704168287,12.5447674105045,0
2021,"Irapuato","11017",3,3,1,1,1,1,0,11017,1,NA,NA,NA,0,0,0,0,592953,302183,290770,409113,534519,742,20917,22005,17330,21814,26985,9.66,285598,177369,280623,160359,151888,47141,104747,179354,11,30763,0.181291546838904,"pan","pan-prd-mc","morena-pt-pes",0,0,1,1,1280,NA,NA,NA,NA,NA,NA,NA,NA,0,13.2928704168287,12.5447674105045,0
2000,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,0,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,3,1350,0.10031953630081,"pri","pan","pri",0,1,0,1,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2001,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,1,1,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2002,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,0,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2003,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,0,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,8,829,0.0668764117457245,"pan","pan","pan-pvem",0,0,0,1,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2004,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,1,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2005,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,2,3,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan","pan","pan-pvem",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2006,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,2,4,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,3,3061,0.215305620032356,"pan","pan","pan-pvem",0,0,0,1,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2007,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,2,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2008,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,0,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,NA,NA,NA,"pan-pna","pan-panal","pan",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2009,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,0,3,0,0,0,0,31803,14906,16897,18630,30060,2774,703,394,3022,4910,6,7909,60,9406,13298,9256,6575,7300,5765,1535,4,542,0.0345619181226884,"pan-pna","pan-panal","pan",0,0,0,1,96,0,0,0,0,0,0,0,0,0,10.3673159039412,9.4953689269624,0
2010,"Jaral del Progreso","11018",0,0,0,0,0,0,0,11018,0,NA,1,4,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,96,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2011,"Jaral del Progreso","11018",2,2,1,1,0,1,0,11018,1,5,1,4,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pan","pan-panal","pan",0,0,0,0,96,1,1,0,0,1,1,0,0,0,10.5073662653379,9.37169362233394,0
2012,"Jaral del Progreso","11018",2,2,0,2,0,1,0,11018,1,1,1,1,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,7,1394,0.0842958214912016,"pan","pan-panal","pan",0,0,0,1,91,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2013,"Jaral del Progreso","11018",1,2,0,1,0,0,0,11018,1,0,0,0,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,91,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2014,"Jaral del Progreso","11018",2,2,0,2,0,1,0,11018,1,2,2,3,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pan","pan-panal","pri-pvem",0,0,1,0,90,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2015,"Jaral del Progreso","11018",2,2,1,1,0,1,0,11018,1,4,1,6,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,6,2165,0.123460310218978,"pan","pan-panal","pri-pvem",0,0,1,1,90,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2016,"Jaral del Progreso","11018",2,2,1,1,0,1,0,11018,0,4,3,4,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pri","pan-panal","pri-pvem",0,1,0,0,86,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2017,"Jaral del Progreso","11018",2,3,1,0,1,1,0,11018,1,8,10,16,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pri","pan-panal","pri-pvem",0,1,0,0,86,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,0
2018,"Jaral del Progreso","11018",3,3,1,1,1,1,0,11018,1,NA,NA,NA,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,7,283,0.0156943212067436,"pri","pan-panal","pri-pvem",0,1,0,1,64,5,0,5,0,2,0,2,0,0,10.5073662653379,9.37169362233394,0
2019,"Jaral del Progreso","11018",3,3,1,1,1,1,0,11018,0,NA,NA,NA,0,0,0,0,36584,17661,18923,23449,34539,42,1262,755,2403,2367,4284,7.19,12953,14826,11751,8466,8876,6903,1973,11276,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,64,0,0,0,0,0,0,0,0,0,10.5073662653379,9.37169362233394,1
2020,"Jaral del Progreso","11018",2,3,0,1,1,1,0,11018,1,NA,NA,NA,0,0,0,0,38782,19935,18847,26666,36760,29,1327,1123,1996,1784,3175,8.37,17395,13282,17018,8939,9994,3261,6733,13077,NA,NA,NA,"pri","pan-prd-mc","morena-pt-pes",1,1,1,0,88,2,2,0,0,1,1,0,0,0,10.5657115004426,9.7420268864095,1
2021,"Jaral del Progreso","11018",2,3,0,1,1,1,0,11018,0,NA,NA,NA,0,0,0,0,38782,19935,18847,26666,36760,29,1327,1123,1996,1784,3175,8.37,17395,13282,17018,8939,9994,3261,6733,13077,10,228,0.0136200716845878,"pri","pan-prd-mc","morena-pt-pes",1,1,1,1,88,NA,NA,NA,NA,NA,NA,NA,NA,0,10.5657115004426,9.7420268864095,1
2000,"Manuel Doblado","11008",0,0,0,0,0,0,0,11008,0,NA,0,0,0,0,0,0,38309,17982,20327,20399,35601,4013,743,290,5041,6895,5,10327,57,10500,15715,10436,8034,8122,6470,1652,5,4560,0.32192022590893,"pri","pan","pri",0,1,0,1,53,0,0,0,0,0,0,0,0,0,10.5534401345088,9.66237094923167,0
2001,"Manuel Doblado","11008",0,0,0,0,0,0,0,11008,0,NA,0,0,0,0,0,0,38309,17982,20327,20399,35601,4013,743,290,5041,6895,5,10327,57,10500,15715,10436,8034,8122,6470,1652,NA,NA,NA,"pri","pan","pan-pvem",1,1,1,0,53,0,0,0,0,0,0,0,0,0,10.5534401345088,9.66237094923167,1
