item1;item2;item3;item4;item5;item6;item7;item8;item9;item10
955;711;927;2009;1659;765;3210;1317;1708;249
229;132;213;478;354;158;705;249;319;29
631;421;648;1217;1232;559;2161;891;1200;170
597;430;597;1181;1122;527;1859;852;1129;155
537;453;561;1007;1046;523;1655;779;994;203
508;346;540;807;897;424;1448;682;847;153
643;502;668;1098;1096;535;1891;869;1166;184
884;630;920;1532;1537;703;2664;1146;1598;248
175;125;187;334;328;149;589;256;296;37
539;377;546;939;1022;471;1730;810;1059;181
435;376;467;834;827;409;1408;651;783;171
437;366;447;787;755;356;1333;615;894;117
477;361;512;841;814;378;1437;642;873;159
647;531;758;1274;1132;520;1973;1000;1236;217
866;631;917;1616;1483;656;2564;1117;1577;216
191;133;168;333;307;113;518;243;315;48
576;358;550;1021;1115;414;1750;771;1044;184
476;352;480;881;816;397;1382;651;973;158
502;421;519;770;750;412;1370;662;881;159
549;414;574;983;792;536;1473;705;996;176
679;524;738;1130;932;590;1822;859;1250;191
942;759;991;1549;1340;856;2612;1109;1485;272
200;145;239;362;291;197;609;269;342;45
576;455;589;1018;1022;548;1658;811;1061;171
601;454;570;829;909;534;1570;734;1003;175
597;437;541;818;914;527;1509;685;972;160
572;461;519;864;824;503;1495;665;949;162
732;544;663;1144;1080;571;1819;884;1201;205
1841;1494;1769;2597;1945;1350;3728;1118;1678;260
176;136;190;354;320;191;639;271;377;52
624;461;571;929;1086;593;1835;819;1146;185
559;422;543;860;894;477;1495;716;967;189
496;379;516;763;723;447;1241;585;829;145
571;455;540;798;775;436;1359;713;936;180
698;540;671;1065;1002;547;1727;901;1228;196
915;677;836;1330;1394;720;2372;995;1405;229
203;155;188;264;313;138;527;218;326;45
651;477;564;885;1049;494;1687;809;1096;174
572;440;552;823;816;410;1552;684;1013;176
574;428;537;754;885;409;1453;682;946;167
515;476;575;785;858;477;1514;687;994;186
720;501;621;1094;1019;586;1829;923;1258;212
922;714;877;1324;1328;696;2539;1031;1503;270
158;127;184;274;310;104;485;208;296;30
704;559;673;903;1145;575;1973;875;1151;196
644;467;557;848;978;516;1651;727;1038;203
551;438;567;819;953;496;1594;732;993;170
560;473;577;803;875;466;1389;647;916;203
749;558;714;1320;1147;574;2074;938;1293;230
942;667;962;1461;1436;750;2490;1172;1514;280
234;154;212;365;339;168;663;278;395;61
661;434;617;940;1101;535;1785;766;1082;199
516;442;536;929;938;459;1502;739;963;193
566;373;484;779;917;438;1403;735;1117;183
538;416;510;863;871;495;1471;691;982;204
721;506;653;1056;1089;553;1768;928;1214;233
888;633;850;1268;1375;711;2421;1153;1602;283
190;134;173;315;372;136;560;270;364;38
616;442;539;851;913;531;1563;799;1060;189
509;375;479;741;856;462;1282;667;943;174
495;394;443;776;776;412;1250;652;926;164
547;416;501;823;827;477;1353;717;1003;159
725;584;697;1099;1094;525;1769;903;1229;227
822;589;732;1232;1294;643;1974;969;1279;237
212;144;192.5;340;355.5;152;611.5;274;379.5;49.5
638.5;438;578;895.5;1007;533;1674;782.5;1071;194
771;491;632;1075;1122;551;1938;850;1098;207
688;456;618;1160;1048;577;1742;865;1108;191
542.5;416;505.5;843;849;486;1412;704;992.5;181.5
939;647;772;1423;1220;616;2159;1033;1265;233
791;573;731;1397;1084;601;1987;920;1234;217
174;116;151;323;261;129;471;242;316;49
665;468;637;1156;1087;540;1900;892;1110;188
751;484;692;1210;1133;526;1765;1014;1288;208
