"dates" "sat" "sun" "hol" "excl.dates"
"220" "2018-04-08" 0 1 0 0
"221" "2018-04-09" 0 0 0 0
"222" "2018-04-10" 0 0 0 0
"223" "2018-04-11" 0 0 0 0
"224" "2018-04-12" 0 0 0 0
"225" "2018-04-13" 0 0 0 0
"226" "2018-04-14" 1 0 0 0
"227" "2018-04-15" 0 1 0 0
"228" "2018-04-16" 0 0 0 0
"229" "2018-04-17" 0 0 0 0
"230" "2018-04-18" 0 0 0 0
"231" "2018-04-19" 0 0 0 0
"232" "2018-04-20" 0 0 0 0
"233" "2018-04-21" 1 0 0 0
"234" "2018-04-22" 0 1 0 0
"235" "2018-04-23" 0 0 0 0
"236" "2018-04-24" 0 0 1 0
"237" "2018-04-25" 0 0 0 0
"238" "2018-04-26" 0 0 1 0
"239" "2018-04-27" 0 0 0 0
"240" "2018-04-28" 1 0 0 0
"241" "2018-04-29" 0 1 0 0
"242" "2018-04-30" 0 0 1 0
"243" "2018-05-01" 0 0 0 0
"244" "2018-05-02" 0 0 1 0
"245" "2018-05-03" 0 0 0 0
"246" "2018-05-04" 0 0 0 0
"247" "2018-05-05" 1 0 0 0
"248" "2018-05-06" 0 1 0 0
"249" "2018-05-07" 0 0 0 0
"250" "2018-05-08" 0 0 0 0
"251" "2018-05-09" 0 0 0 0
"252" "2018-05-10" 0 0 0 0
"253" "2018-05-11" 0 0 0 0
"254" "2018-05-12" 1 0 0 0
"255" "2018-05-13" 0 1 0 0
"256" "2018-05-14" 0 0 0 0
"257" "2018-05-15" 0 0 0 0
"258" "2018-05-16" 0 0 0 0
"259" "2018-05-17" 0 0 0 0
"260" "2018-05-18" 0 0 0 0
"261" "2018-05-19" 1 0 0 0
"262" "2018-05-20" 0 1 0 0
"263" "2018-05-21" 0 0 0 0
"264" "2018-05-22" 0 0 0 0
"265" "2018-05-23" 0 0 0 0
"266" "2018-05-24" 0 0 0 0
"267" "2018-05-25" 0 0 0 0
"268" "2018-05-26" 1 0 0 0
"269" "2018-05-27" 0 1 0 0
"270" "2018-05-28" 0 0 0 0
"271" "2018-05-29" 0 0 0 0
"272" "2018-05-30" 0 0 0 0
"273" "2018-05-31" 0 0 0 0
"274" "2018-06-01" 0 0 1 0
"275" "2018-06-02" 1 0 0 0
"276" "2018-06-03" 0 1 1 0
"277" "2018-06-04" 0 0 0 0
"278" "2018-06-05" 0 0 0 0
"279" "2018-06-06" 0 0 0 0
"280" "2018-06-07" 0 0 0 0
"281" "2018-06-08" 0 0 0 0
"282" "2018-06-09" 1 0 0 0
"283" "2018-06-10" 0 1 0 0
"284" "2018-06-11" 0 0 0 0
"285" "2018-06-12" 0 0 0 0
"286" "2018-06-13" 0 0 0 0
"287" "2018-06-14" 0 0 0 0
"288" "2018-06-15" 0 0 0 0
"289" "2018-06-16" 1 0 0 0
"290" "2018-06-17" 0 1 0 0
"291" "2018-06-18" 0 0 0 0
"292" "2018-06-19" 0 0 0 0
"293" "2018-06-20" 0 0 0 0
"294" "2018-06-21" 0 0 0 0
"295" "2018-06-22" 0 0 0 0
